representation,partition,tile_count,origin_unit_count,destination_unit_count,origin_trip_count,origin_expanded_mass,max_unit_bbox_span_m
h3_r7,test,1,33,32,12778248,17488946.105800133,2698.6808281721896
h3_r7,train,7,127,130,39846374,56504219.01990032,2702.6646516024484
h3_r7,validation,2,61,61,7889259,11784497.812900003,2701.7960266441805
h3_r8,test,1,189,181,11518676,15799248.368800022,944.0066707035294
h3_r8,train,7,704,698,41791413,59182993.27779989,945.559004471288
h3_r8,validation,2,301,302,7203792,10795421.291999992,945.1700101449968
zona777,test,1,101,101,11752435,16110557.017799957,7548.145075770502
zona777,train,5,508,509,41305775,58497601.17139991,11131.589630511471
zona777,validation,2,186,186,7455671,11169504.749399995,11740.268145009875
