representation,analysis_scope,domain_units_with_whole_geometry,active_origin_units,active_destination_units,active_units_union,retained_trip_count,retained_expanded_mass,observed_od_pairs,possible_active_od_pairs,od_density,zero_proportion,same_unit_trip_count,same_unit_mass_share,rare_od_pairs_le_5_trips,rare_od_pair_share,rare_od_mass_share,active_unit_area_min_km2,active_unit_area_median_km2,active_unit_area_max_km2,dense_od_float32_mib,sparse_observed_od_est_mib
zona777,exact_primary_trips_inside_f2d_core34,803,795,796,796,60513881,85777662.93859999,427170,632820,0.6750260737650516,0.32497392623494836,718189,0.01217463174238639,153695,0.3597982068029122,0.006449145809626189,0.06334607541341618,0.6755651179638033,49.69608545031895,2.4140167236328125,9.777145385742188
h3_r3,exact_primary_trips_inside_f2d_core34,1,1,1,1,60513881,85777662.93859999,1,1,1.0,0.0,60513881,1.0000000000000002,0,0.0,0.0,10691.591022735372,10691.591022735372,10691.591022735372,3.814697265625e-06,2.288818359375e-05
h3_r4,exact_primary_trips_inside_f2d_core34,6,4,4,4,60513881,85777662.93859999,16,16,1.0,0.0,41906999,0.6963164499976393,0,0.0,0.0,1518.443089938586,1529.984159488323,1541.5518396658035,6.103515625e-05,0.0003662109375
h3_r5,exact_primary_trips_inside_f2d_core34,18,9,9,9,60513881,85777662.93859999,81,81,1.0,0.0,30374484,0.5029436420048042,0,0.0,0.0,217.57771329732236,218.88668399432157,219.59431125593062,0.000308990478515625,0.00185394287109375
h3_r6,exact_primary_trips_inside_f2d_core34,102,43,43,43,60513881,85777662.93859999,1736,1849,0.9388858842617631,0.061114115738236885,11134773,0.18599157808391079,98,0.056451612903225805,5.1095365038532865e-06,31.08254951889524,31.243462148607307,31.385402982512044,0.007053375244140625,0.03973388671875
h3_r7,exact_primary_trips_inside_f2d_core34,586,221,223,224,60513881,85777662.93859999,37589,49283,0.7627173670434024,0.23728263295659757,2959410,0.049720526879507614,5657,0.1504961557902578,0.00025419200352435944,4.442125357970931,4.463225798189813,4.481649861436096,0.18799972534179688,0.8603439331054688
h3_r8,exact_primary_trips_inside_f2d_core34,3780,1194,1181,1210,60513881,85777662.93859999,617070,1410114,0.4376029172109489,0.5623970827890511,475570,0.00803882739488464,268114,0.43449527606268334,0.010696495243251971,0.6344802158439925,0.6374737099231835,0.6402357027483734,5.379158020019531,14.123611450195312
