unit_id,origin_trip_count,origin_expanded_mass,destination_trip_count,destination_expanded_mass,unit_x_32719,unit_y_32719,unit_area_km2,unit_bbox_span_m,representation
86b2c5087ffffff,378412,577198.7438000012,362311,519758.0208000005,357817.6696743645,6292635.091174543,31.17613865342808,6591.950791794981,h3_r6
86b2c5097ffffff,3831098,5311896.145,3918780,5545869.030700059,351685.3390444539,6291309.47371448,31.19112493835055,6595.613156958774,h3_r6
86b2c509fffffff,979895,1422957.4529000076,868994,1255939.866099998,355443.7394365335,6287042.060784418,31.14995309250677,6591.164930231171,h3_r6
86b2c50a7ffffff,116870,172569.18529999984,115506,163900.8297999999,360193.00558740774,6298231.109548794,31.202268035129496,6592.731711459986,h3_r6
86b2c50b7ffffff,3300035,4541471.450300051,3272532,4590171.85670004,354059.3847948782,6296906.170450758,31.217321743812345,6596.397498088365,h3_r6
86b2c5187ffffff,480745,722117.0921999986,486731,684542.5880999998,358811.69293414615,6308108.511675894,31.26954583465483,6597.951315385173,h3_r6
86b2c518fffffff,126849,182401.03439999974,110018,147910.3411999999,362569.74256627355,6303830.109648498,31.228340920143722,6593.507684361364,h3_r6
86b2c5197ffffff,262753,377571.0524999999,230251,320917.9821000002,352673.39566495095,6306784.433405615,31.284653688508605,6601.620462988794,h3_r6
86b2c519fffffff,2800603,3819144.0390000097,2765037,3802778.7142000073,356434.8376297568,6302505.8518654145,31.243462148607307,6597.176885853405,h3_r6
86b2c51a7ffffff,6372,10265.490100000003,6849,9892.601099999996,361189.9460746781,6313714.143574551,31.295572483872718,6598.720781860233,h3_r6
86b2c51b7ffffff,50866,76662.93490000001,51343,70792.59750000002,355050.37115942664,6312390.75217622,31.310748017592434,6602.393335445842,h3_r6
86b2c5407ffffff,11224,21199.1135,8754,13309.6646,329503.92496275355,6291601.37178691,31.276725211546925,6611.025788295723,h3_r6
86b2c540fffffff,678581,1035233.6532999984,577808,851054.531999999,333275.7837908103,6287329.5984884575,31.235597587229837,6606.57934192539,h3_r6
86b2c5427ffffff,60714,96327.11540000002,54706,78599.08450000003,331874.18544689065,6297203.774889324,31.30313537107311,6611.818879186292,h3_r6
86b2c542fffffff,2161896,3078332.6483999374,2080012,3007356.2341999784,335645.9256026354,6292928.328157088,31.261996467005066,6607.373973593058,h3_r6
86b2c5437ffffff,37550,53931.69600000002,34027,47643.250400000004,325728.79135380324,6295876.993271926,31.317849707886705,6615.470600776374,h3_r6
86b2c5447ffffff,1356922,2007123.2777999945,1208941,1794358.0686999983,343179.5785900475,6284388.9717171425,31.17971014570545,6598.479324850254,h3_r6
86b2c544fffffff,266996,430863.36220000044,179135,271003.9736000001,346941.48716455104,6280125.059281843,31.138563398022594,6594.029634249979,h3_r6
86b2c5457ffffff,40377,60555.18960000001,37259,55255.41830000002,337044.365683105,6283061.672013458,31.19446717088004,6602.131288016564,h3_r6
86b2c545fffffff,487413,726500.9054999971,445143,672469.1106000006,340809.6685111392,6278797.59098753,31.15333429719171,6597.681652839063,h3_r6
86b2c5467ffffff,2833811,4107109.8015000173,2678321,3876136.8164000213,345550.91091921716,6289983.35256744,31.206030327880818,6599.272046828526,h3_r6
