unit_id,origin_trip_count,origin_expanded_mass,destination_trip_count,destination_expanded_mass,unit_x_32719,unit_y_32719,unit_area_km2,unit_bbox_span_m,representation
84b2c51ffffffff,12334498,17214254.620399743,12188352,17112474.428299848,372453.91644190403,6300879.476335921,1527.4164547282437,46097.697306662216,h3_r4
84b2c55ffffffff,44908268,63797204.97360302,45353197,64377484.80240331,329503.924962756,6291601.371786909,1532.5518642484024,46277.14724391984,h3_r4
84b2c57ffffffff,2666908,3882656.355699972,2399828,3475245.2547000125,355838.0475288937,6261779.693495687,1518.443089938586,46059.04415482201,h3_r4
84b2c5dffffffff,604207,883546.9888999991,572504,812458.4532000003,346125.5455342602,6330880.766900303,1541.5518396658035,46315.2741397795,h3_r4
