unit_id,origin_trip_count,origin_expanded_mass,destination_trip_count,destination_expanded_mass,unit_x_32719,unit_y_32719,unit_area_km2,unit_bbox_span_m,geometry_source,support_endpoint_count,support_x_32719,support_y_32719,support_bbox_span_m,representation
0,51429,73245.21290000006,23707,34090.71610000001,334771.64413174184,6292492.32424998,1.1103985688360956,2039.5593764827354,official_shapezona777,75136.0,334868.3071896295,6292850.445099553,1886.0,zona777
1,28839,47012.61059999999,24460,36010.57679999999,344118.2183923484,6302811.854128011,0.5746533564630746,1221.423961211869,official_shapezona777,53299.0,343932.389481979,6302847.888778402,1473.0,zona777
10,40418,65492.749700000066,34511,51492.078499999996,342452.2969712653,6306446.5621588975,0.9110522151225083,1331.7756765686208,official_shapezona777,74929.0,342667.4274313016,6306558.650495803,1509.0,zona777
100,46155,69185.13410000002,22255,33160.034100000004,341205.56149273843,6300613.943524592,0.8059088842003352,1212.0302322171628,official_shapezona777,68410.0,341243.8416459582,6300712.43787458,1457.0,zona777
101,19140,30653.886199999997,20712,30535.565799999997,341663.5683828388,6300176.602085679,0.7070761302860362,1261.861893653404,official_shapezona777,39852.0,341683.1401435311,6300285.687016963,1059.0,zona777
102,35019,51147.77380000001,25364,37545.334400000014,342481.4900936455,6300147.86119011,0.4461600709305608,995.7420015744865,official_shapezona777,60383.0,342594.84015368565,6300053.697050494,1536.0,zona777
103,49747,68921.20699999997,22110,31867.883199999986,342906.1333042147,6299985.05024435,0.32383866803227257,1032.5360896373168,official_shapezona777,71857.0,342961.9134670248,6299714.809955885,1324.0,zona777
104,54667,78159.27969999996,37087,54669.246499999994,343279.38597018644,6298754.455093979,0.9545605589194306,1160.4327031600405,official_shapezona777,91754.0,343241.2326765046,6298898.147197942,1354.0,zona777
105,18721,29218.694599999988,20110,29125.0802,340669.7705766653,6299758.972201464,0.6461507793939579,1152.5237889247364,official_shapezona777,38831.0,340683.55164688005,6299889.8925858205,1157.0,zona777
106,21950,34146.496200000016,17745,26062.606799999998,341809.3646027574,6299698.801281048,0.4273715220253368,1508.2011581889237,official_shapezona777,39695.0,341632.1650837637,6299743.721778561,1641.0,zona777
107,15566,22025.108799999998,9789,14215.074900000001,340359.3911408632,6299348.469596002,0.39893521836286827,773.9590860884637,official_shapezona777,25355.0,340350.25040425954,6299525.221928613,1094.0,zona777
108,33001,47287.58249999999,28507,41196.223000000005,341122.86474987515,6299160.730980478,0.6032762140617168,1300.0117932761204,official_shapezona777,61508.0,341262.12169148726,6299423.806919425,1380.0,zona777
109,132699,183408.40870000006,144989,206959.3044,341684.7411175859,6298785.662886281,0.3877159724922895,863.9758934988058,official_shapezona777,277688.0,341301.6848657486,6298470.951189824,907.0,zona777
11,138762,195867.20419999977,160785,232515.70660000003,343329.59404163924,6306406.650315538,0.7225366092615276,1694.1165404376225,official_shapezona777,299547.0,343320.8666619929,6306184.948111649,2115.0,zona777
110,211851,301350.8966000004,279857,398444.3212000001,342504.8336645013,6299143.346142752,0.816795027967254,1246.3119159514317,official_shapezona777,491708.0,342723.42584013275,6298972.410025869,1398.0,zona777
111,44978,64573.40190000005,36958,54156.28090000002,341630.68925506994,6298096.333372563,0.5877045864745006,1076.2260205354542,official_shapezona777,81936.0,341675.87812438974,6298343.150336849,1519.0,zona777
112,57978,84105.72039999986,37526,54831.91470000002,342357.44582922175,6298402.109703163,0.7812104167637663,1094.171451613307,official_shapezona777,95504.0,342313.3272742503,6298538.854519183,1445.0,zona777
113,21296,30337.066700000007,9013,13597.974400000001,338469.7551789704,6298676.86394982,0.3398270777291264,611.8918318906799,official_shapezona777,30309.0,338471.3518096935,6298875.824573559,1154.0,zona777
114,34283,42383.752700000005,21608,31109.254499999992,339468.3903218215,6298337.429147225,0.3754396876124729,751.1669234210858,official_shapezona777,55891.0,339749.5636148933,6298148.694369397,1072.0,zona777
115,743,1115.3053,318,446.4895,340337.4494814863,6298657.984141877,0.39362120601857215,936.8246451063314,official_shapezona777,1061.0,340317.84071630536,6298689.080113101,836.0,zona777
116,86267,118411.18740000001,102454,147472.35790000003,340280.3478586342,6298350.10020663,0.23706309291910072,946.0736308165942,official_shapezona777,188721.0,340363.9924703663,6298231.4695131965,1343.0,zona777
117,300122,404519.11130000005,286188,409162.0524,341031.19057477766,6297956.891248535,0.6577220859789755,1553.6733861510875,official_shapezona777,586310.0,339915.87718271906,6298038.982857192,2291.0,zona777
118,54555,72325.33859999997,38309,54566.94029999998,338715.5780835188,6297755.048038522,0.4048925248585091,812.147410649748,official_shapezona777,92864.0,338909.3430285148,6297936.098897312,1328.0,zona777
119,87079,121370.08520000019,98541,141267.57670000003,339474.1470233458,6297809.782997776,0.46863909629842126,821.8460538201034,official_shapezona777,185620.0,339828.2645350717,6297475.419604569,1485.0,zona777
12,20633,31047.979400000007,20695,30697.6435,343675.7443033623,6305980.478672021,0.5542379553664272,1131.6166477992665,official_shapezona777,41328.0,343674.0372144793,6305937.741966706,1142.0,zona777
120,11062,14450.929600000003,8750,12503.8657,340326.9990495391,6297715.293003728,0.576774085792072,1004.1125270568882,official_shapezona777,19812.0,340205.5390167575,6297378.115334141,973.0,zona777
121,13011,17245.287800000002,11571,16435.94829999999,339516.31231357483,6297160.176102448,0.4755771240926652,904.6831838373328,official_shapezona777,24582.0,339445.03616467334,6297250.329021235,1235.0,zona777
122,3177,4501.433899999998,6265,9209.285600000001,340101.3587835446,6297038.328057304,0.18938021898227214,642.5979980221018,official_shapezona777,9442.0,340165.64732048294,6297055.285532726,1258.0,zona777
123,568201,761679.1303999946,466512,661354.9053999988,340758.4460974146,6297033.725902512,0.7697372593689963,1262.7705581138143,official_shapezona777,1034713.0,341382.9417297357,6296737.450839992,1999.0,zona777
124,17707,23626.740900000008,11368,16296.016999999996,341202.86268220615,6297267.648728314,0.22484670567029855,584.6998911256087,official_shapezona777,29075.0,341041.90961306967,6297462.506208083,1001.0,zona777
125,18515,28410.201200000007,14709,21735.4925,334663.3576751795,6298953.664179927,1.1442565835548126,1394.9255694430321,official_shapezona777,33224.0,334720.52988803276,6298900.199494341,1644.0,zona777
126,24845,35809.78180000004,26635,38515.70310000001,336344.6125955637,6299278.0557735115,0.5307622196844417,1157.4428508576239,official_shapezona777,51480.0,336490.91635586636,6299461.043104118,1679.0,zona777
127,48264,68295.01210000002,25209,36929.631199999974,336876.53699341987,6299219.258969289,0.3984361684253306,770.651433875144,official_shapezona777,73473.0,337120.7460019327,6299232.364419582,1300.0,zona777
128,13831,19630.203699999995,9319,13891.188899999997,337873.7694283911,6299286.234168989,0.2208829947560159,690.3447323423461,official_shapezona777,23150.0,338015.3304535637,6299053.019697624,987.0,zona777
129,1761,2418.9820000000004,1375,1986.7820999999997,336317.55557965534,6298669.306304688,0.3576635204071534,856.685248285532,official_shapezona777,3136.0,336530.247130102,6298616.921237245,766.0,zona777
13,28050,44979.86009999998,21641,31902.711599999995,344343.7328964614,6305780.316598402,0.564791305042956,1112.8707595951855,official_shapezona777,49691.0,344446.515666821,6305721.611237448,1222.0,zona777
130,311986,432338.57989999984,316197,449573.10970000026,337373.0423287279,6298561.382411554,0.771901356641422,1526.625957319804,official_shapezona777,628183.0,338082.68210537377,6298058.516327249,2069.0,zona777
131,3010,4267.283500000002,2454,3911.316799999999,337945.79252220376,6298586.439843333,0.381636636587754,823.9884311994538,official_shapezona777,5464.0,338148.6923499268,6298831.399158126,836.0,zona777
132,62977,90395.60200000003,44347,63975.31740000003,336721.8137097804,6298012.68870835,0.49974604252374655,1373.3952995822765,official_shapezona777,107324.0,336714.7887704521,6298150.697150684,1342.0,zona777
133,26371,36263.34810000002,17832,27138.818900000006,337863.3944382088,6297684.221056361,0.5061290620466755,1047.2720417330274,official_shapezona777,44203.0,337842.25360269664,6297939.579779653,1246.0,zona777
134,27189,39226.53889999996,51828,74352.56049999993,338154.34084412304,6296885.345795756,0.9487672644019595,1849.7119829461444,official_shapezona777,79017.0,337891.9896604528,6296730.305073592,2017.0,zona777
135,87500,136045.9172999999,76048,112893.2921,335562.39085946075,6300650.2056237925,2.806641802722812,2968.532046507462,official_shapezona777,163548.0,336252.7242522073,6300658.013488395,2211.0,zona777
136,36575,54962.6738,32733,48181.171300000045,336938.94510738633,6300770.269039236,0.47660698324445466,1477.4787622839212,official_shapezona777,69308.0,336953.0776966584,6300909.621876262,1498.0,zona777
137,54581,85851.73430000003,45688,68328.9763,337282.77887216664,6301034.618884329,0.8329706122832079,1570.9437420070171,official_shapezona777,100269.0,337447.7053924942,6301222.146745255,1584.0,zona777
138,37865,59489.45710000002,34017,50547.049100000004,338660.37782930944,6301085.218451224,0.7036459274407124,1351.251703094691,official_shapezona777,71882.0,338583.8770067611,6301243.337080215,1917.0,zona777
139,19090,31219.272000000008,16512,24442.5987,339427.965125547,6301582.48553644,0.563586192545273,1077.7188475626754,official_shapezona777,35602.0,339495.9471939779,6301519.5258412445,1294.0,zona777
14,7795,11985.7244,7280,10556.921900000003,344816.5464750873,6305683.000039186,0.3095288796510884,771.090860683471,official_shapezona777,15075.0,344878.5265008292,6305627.976716418,1005.0,zona777
140,3956,5939.483100000001,440,708.8811000000002,340110.9820316202,6301168.082731618,0.4480651904014708,963.9428448127583,official_shapezona777,4396.0,340104.5621019108,6301577.578707917,276.0,zona777
141,21955,34283.678499999995,20053,30048.1254,337842.964549448,6300760.608893226,0.342234007167249,714.4951538424939,official_shapezona777,42008.0,337846.7388354599,6300746.913921158,1241.0,zona777
142,9767,14778.520099999998,14644,21621.2931,339306.1874306714,6300960.825066463,0.3085344077621258,839.2757045907201,official_shapezona777,24411.0,339249.279464176,6300825.092908935,860.0,zona777
143,48858,73332.68009999994,36093,52954.34989999999,339900.5764031163,6300294.383390402,0.7231175399597616,1186.795545621775,official_shapezona777,84951.0,340044.4819719603,6300319.796824051,1424.0,zona777
144,46765,74320.16810000005,35795,53145.3341,338027.48548256146,6300355.8579310775,0.2299226530192768,530.4760120436549,official_shapezona777,82560.0,338200.44742005813,6300420.615152616,936.0,zona777
145,23273,37303.5787,26099,38266.3655,338932.1318238557,6300293.892087681,0.5023216202977367,1362.613720960915,official_shapezona777,49372.0,338875.87606335577,6300403.539921413,1602.0,zona777
146,9656,14697.147100000002,24848,35908.3827,338454.2754380192,6299201.72846541,0.2555074889527534,584.5446749645052,official_shapezona777,34504.0,338406.1214062138,6299060.809413401,829.0,zona777
147,37632,54360.66730000002,24967,36464.081999999995,339611.84795658546,6299540.902959194,0.3902446566370659,959.58029448241,official_shapezona777,62599.0,339753.8209875557,6299567.917027429,1427.0,zona777
148,16993,23226.011300000002,15872,23017.233499999995,339589.2337461483,6299144.47553057,0.3815157200809993,879.511032751936,official_shapezona777,32865.0,339949.78125665605,6299044.547299559,903.0,zona777
149,27199,41128.26639999999,20983,30781.479100000008,340714.8858837342,6293050.947231203,2.6937339078007545,2511.585392211564,official_shapezona777,48182.0,340683.2181727616,6292972.07181105,2727.0,zona777
15,31484,47410.04559999998,19370,28386.112100000013,345494.74405785755,6305687.712728621,0.40890075343071075,786.718655901961,official_shapezona777,50854.0,345478.7319778189,6305714.083316946,1467.0,zona777
150,205858,286331.9759000004,179793,251256.14030000012,341926.84080900333,6293825.928358911,1.214897460786493,1868.3229616632452,official_shapezona777,385651.0,342398.6764769183,6293827.138804256,1808.0,zona777
151,93257,140172.01570000037,84227,124183.3442,342382.4070918185,6292976.93274008,3.324829383038133,3345.2446583397686,official_shapezona777,177484.0,342120.53583421605,6293229.431114918,3939.0,zona777
152,43099,65494.63629999995,30949,45555.86849999999,338691.74549317686,6292358.30474749,0.8392963385615964,1417.3133694017306,official_shapezona777,74048.0,338645.2068658168,6292394.517826275,1747.0,zona777
153,38926,63653.276900000004,43891,64779.08410000002,339871.40640769084,6292301.478753462,0.8475855899423577,1471.37081610132,official_shapezona777,82817.0,339940.71213639714,6292591.686779285,2190.0,zona777
154,11596,17890.3992,12239,17928.011900000005,340148.3975857211,6291206.639250327,0.5697429198212013,1465.8954211450182,official_shapezona777,23835.0,340170.3772603315,6291082.933417244,1794.0,zona777
155,19545,30807.5293,13438,20429.439200000004,338875.63716656447,6290995.555200506,0.5921470390904677,1007.3658216254553,official_shapezona777,32983.0,338873.7623927478,6291111.623351423,1469.0,zona777
156,27854,44818.48029999998,33730,51649.3432,340932.71757795487,6289540.749574412,1.6410089668959291,1760.1511148726568,official_shapezona777,61584.0,340751.2876396467,6289940.19201416,2006.0,zona777
157,29103,45191.63910000001,16794,25533.252699999997,333720.29745094577,6294086.6482326565,16.27325479871754,6932.062418764806,official_shapezona777,45897.0,336499.77931019454,6294474.350676515,3518.0,zona777
158,44534,60760.29299999996,43187,61992.05949999999,339009.330590628,6294716.78158045,1.0435399631057318,1794.708999387687,official_shapezona777,87721.0,338955.3926083834,6294780.769678868,2207.0,zona777
159,37646,57877.08920000002,35246,51912.36719999998,335399.2080345305,6292016.709348174,1.2985775201422183,1531.745410787058,official_shapezona777,72892.0,335467.9063408879,6291958.764363716,1737.0,zona777
16,19046,29397.64339999997,14398,21718.297400000007,342778.908116042,6305700.180435926,0.5180772395825134,1196.57120454486,official_shapezona777,33444.0,342789.3895168042,6305755.287346011,1482.0,zona777
160,41791,63249.52279999993,46833,67861.07800000001,336436.4102315565,6292303.071763428,0.5991162633567034,1040.6320938561112,official_shapezona777,88624.0,336719.10883056506,6292227.876060661,1511.0,zona777
161,136698,188430.87929999977,148024,211214.70299999998,337013.1203081763,6292178.921794808,0.5554401483489786,1153.3175153592601,official_shapezona777,284722.0,336774.2590772754,6292260.656001292,1475.0,zona777
162,111192,170914.29150000008,129693,184502.9809999999,337505.29590794886,6292545.048896468,0.5867259639616961,1428.105403731577,official_shapezona777,240885.0,337202.8746953941,6292947.26502688,1760.0,zona777
163,19199,28787.28179999999,22309,33047.86000000001,337499.1565671113,6291412.137498994,0.6716344876263228,1172.2510793870315,official_shapezona777,41508.0,337483.4786306254,6290912.567866435,1689.0,zona777
164,30610,46435.25180000002,23671,35101.539500000006,337982.1057471973,6291356.201749576,0.46916282723631325,1471.1532306419685,official_shapezona777,54281.0,337845.94288977725,6291297.010887788,1857.0,zona777
165,72128,109861.45430000007,50640,74246.77390000001,335450.94188593037,6291285.6557624005,1.0923838021379177,1474.7128724383656,official_shapezona777,122768.0,335257.0177326339,6290946.702055911,1568.0,zona777
166,37535,58653.852200000016,45329,67349.51549999998,335227.3432876193,6290619.721146391,0.7834396626937474,1147.418482771085,official_shapezona777,82864.0,335195.1659224754,6290707.810846688,1548.0,zona777
167,20871,32828.8566,30675,44832.943399999975,335476.0260990027,6289687.550436728,0.7304188558785885,1504.5752438461059,official_shapezona777,51546.0,335391.7550925387,6289812.953400846,1624.0,zona777
168,80670,118073.14700000022,77045,116616.18320000006,336286.5286849915,6290260.895002919,1.1821004856515087,1314.882815087214,official_shapezona777,157715.0,336478.76479726087,6290432.704676156,1640.0,zona777
169,37574,58517.65490000001,30446,46063.11370000001,337243.14837886475,6289768.335903169,1.6050434189578575,1834.122005596757,official_shapezona777,68020.0,337325.43218171125,6290166.460673331,2713.0,zona777
17,19115,27759.729100000008,13380,19762.8396,343085.5926991985,6304932.26377173,0.8594869942454888,1358.7617633699556,official_shapezona777,32495.0,342913.7386674873,6305107.942575781,1288.0,zona777
170,44157,70873.77619999998,39667,58556.39500000002,337838.72758339345,6289655.594839809,1.1530385671968975,2741.93626824941,official_shapezona777,83824.0,338337.22734539036,6290041.699167303,2858.0,zona777
171,32399,49933.00170000001,36119,53038.3692,335296.36924526235,6289036.711036799,0.7388557666636963,1028.3329562298022,official_shapezona777,68518.0,335276.89929653524,6289134.957076972,1386.0,zona777
172,73513,111630.46740000005,26607,38877.55169999998,334226.73253440665,6289311.691100704,1.0963838557944834,1251.127746299724,official_shapezona777,100120.0,334295.0085497403,6289370.36504195,1309.0,zona777
173,8696,13451.9124,11765,17413.056599999993,348499.46937075263,6299926.248866943,1.1774775608907901,1526.7454706756398,official_shapezona777,20461.0,348414.4668393529,6299609.732515518,1423.0,zona777
174,33704,53525.200699999994,48405,71144.47769999999,349767.1005881001,6301312.097387194,2.409716294813497,2899.3231552653015,official_shapezona777,82109.0,349965.53648199345,6301129.870257828,1785.0,zona777
175,1294538,1700188.6573999578,1433908,1956355.670799995,349691.2218860617,6300127.5412589675,0.8670685280923031,1381.5530462969327,official_shapezona777,2728446.0,349712.46990374743,6300222.679434007,1587.0,zona777
176,253907,376716.099099998,165552,234598.956,350342.5551395234,6300929.63250388,0.43401534575470313,1560.5365796685219,official_shapezona777,419459.0,350591.1217902107,6301025.229564749,1652.0,zona777
177,34564,47049.516100000015,27187,38234.5907,348370.20717255754,6298876.107474759,0.42710380849392127,936.7870244886726,official_shapezona777,61751.0,348381.2426357468,6299059.854982106,1174.0,zona777
178,544806,737144.1261999953,588700,806398.7420999997,349144.2258495521,6299401.606950541,1.0599797635065342,1291.2667511422187,official_shapezona777,1133506.0,348860.27130072535,6299460.755195826,1794.0,zona777
179,913286,1197756.0029999954,1024332,1401679.117299998,350535.8044815357,6300222.902973481,0.71933439871062,1304.699029690586,official_shapezona777,1937618.0,350345.5757904809,6300726.224622707,1830.0,zona777
18,16229,23159.6381,14789,21783.42579999999,343795.95926286,6305220.284077894,0.5990054253285486,982.7171309310943,official_shapezona777,31018.0,343676.96830872394,6305121.056257657,1249.0,zona777
180,121106,157769.9567000003,127914,178879.29990000004,351372.7195863648,6300491.121343,0.991432310017792,1386.1377253223327,official_shapezona777,249020.0,351072.4246927958,6300939.795430086,1872.0,zona777
181,512456,708934.2790999972,592204,827194.9367000001,348525.0542585865,6298231.621509795,0.5134232950807965,980.6110480539501,official_shapezona777,1104660.0,348431.6365488024,6298176.530302537,1427.0,zona777
182,103912,143000.55540000033,95247,130524.37149999998,349364.67070477706,6298367.895245768,0.933950648916341,1301.8633642182685,official_shapezona777,199159.0,349271.00559352076,6298521.668054168,1764.0,zona777
183,298832,400719.0583999993,338775,464239.4106,350199.3085677691,6298902.760218522,1.1154268165040873,1669.5064805857837,official_shapezona777,637607.0,350443.8888563018,6298914.050437025,1846.0,zona777
184,93767,132525.66800000003,84142,116404.22780000007,350837.93228914606,6299173.822815077,0.9525171118163933,1724.85040150024,official_shapezona777,177909.0,350759.69404021156,6299055.256254602,2027.0,zona777
185,37657,53926.34240000003,20676,29149.369,351775.5601467325,6299886.864267891,0.7023108543213673,1648.332164819003,official_shapezona777,58333.0,351324.5294773113,6299865.1238235645,2130.0,zona777
186,111126,145828.86949999997,72584,100047.19470000001,351680.97568420536,6299084.53208513,1.0161514393524698,1549.3989092713455,official_shapezona777,183710.0,351864.56140656467,6299281.832594851,2025.0,zona777
187,36903,49508.081499999906,25061,35142.50710000001,352146.9988985737,6298785.017956217,1.0200218156379248,2018.4408146932838,official_shapezona777,61964.0,352046.3832709315,6299127.497224195,2113.0,zona777
188,45779,66036.34099999996,54076,75590.48150000004,351373.3725863256,6302596.985027634,0.9429381038291604,1935.1161564710783,official_shapezona777,99855.0,351513.47945521004,6302734.497601522,1733.0,zona777
189,127976,178011.59269999995,66323,93601.6361,351528.1795309214,6303533.174777992,1.5837531767784285,1685.4890012653777,official_shapezona777,194299.0,352001.0174370429,6303331.020658881,2238.0,zona777
19,50214,78127.68980000008,40285,59287.470700000005,344551.4875206832,6304596.324532353,0.6741890143972759,1642.226269904524,official_shapezona777,90499.0,344655.05983491533,6304700.759433806,1800.0,zona777
190,31297,46106.27550000001,33092,44998.16640000002,352263.3576632376,6304139.953005432,1.0916339773988843,1965.364043700276,official_shapezona777,64389.0,352373.1864293591,6303944.829163366,2448.0,zona777
191,37293,55502.99739999997,20410,28600.70659999999,352666.76509392064,6304695.929927895,1.565189433293338,1997.8066031453782,official_shapezona777,57703.0,353226.23284751223,6304435.0718333535,2394.0,zona777
192,51162,70767.38939999988,37423,51182.44500000002,353531.6376364402,6305096.466311475,1.0370772536507629,1508.755086983554,official_shapezona777,88585.0,353532.24930857366,6305169.7854828695,1856.0,zona777
193,65476,96952.3596000001,38756,53648.63490000003,354870.11523868906,6305178.570266491,1.7056879910238434,1988.4197757707443,official_shapezona777,104232.0,354583.74047317525,6304989.901095632,2424.0,zona777
194,38846,57475.24990000003,33546,47264.811200000004,356098.40750466567,6305651.026005785,1.147148345521354,1973.821585185011,official_shapezona777,72392.0,356033.0791662062,6305363.267128965,1939.0,zona777
195,131080,194106.27689999988,113718,158210.7647000001,353337.0509789918,6303598.690455986,1.000864070298658,1586.316506634641,official_shapezona777,244798.0,353047.53722661134,6303549.281865048,2296.0,zona777
196,14993,21762.031499999997,60782,84787.51040000003,354231.5132224283,6304044.585443387,0.7339783808421768,1219.4574400587007,official_shapezona777,75775.0,354009.74640712637,6304215.184414385,1350.0,zona777
197,21919,31770.71380000001,41271,58071.54770000002,354955.6227229481,6304595.363619889,0.565617511288436,1393.484668880934,official_shapezona777,63190.0,355238.22695046687,6304837.943392942,1733.0,zona777
198,21840,32961.74189999998,22003,31249.46000000001,356478.363117029,6304994.609932876,0.9625571339002412,1621.733118861448,official_shapezona777,43843.0,356601.83094222564,6304908.6691147955,2195.0,zona777
199,131894,185304.3663999998,16866,24644.49189999999,357671.85838397336,6305857.274403599,0.7662549937810913,1870.608290716249,official_shapezona777,148760.0,357742.119783544,6305583.730485345,2186.0,zona777
2,7569,11382.854700000002,12163,17955.014,345634.1358386022,6302579.717532306,0.8410746366275389,1395.3666029460728,official_shapezona777,19732.0,345543.50815933506,6302626.91551794,1013.0,zona777
20,34506,50057.21619999998,27310,40232.752300000015,345380.201614963,6304838.878411807,0.6752728997847591,1118.9931938842637,official_shapezona777,61816.0,345356.4214281092,6305031.281804063,1658.0,zona777
200,15292,22115.587799999994,19760,27228.322000000007,354050.183481247,6306578.942302169,12.3742677074912,7548.145075770502,official_shapezona777,35052.0,353387.15511240443,6305616.482055232,2923.0,zona777
201,49108,68358.08849999997,17645,24814.172700000006,355400.6199014615,6304341.217057548,0.513209128015401,1403.1248508746503,official_shapezona777,66753.0,355161.2567375249,6304158.479978428,1592.0,zona777
202,67947,99856.52459999986,69981,97475.9743,356899.0697909078,6308288.596903562,5.831944993670688,3336.2692966302857,official_shapezona777,137928.0,356565.48101183225,6308477.973536918,3687.0,zona777
203,4402,7530.772800000001,7348,10833.903300000004,361208.8682527093,6308287.873733385,1.7802676227495329,2259.2232133580255,official_shapezona777,11750.0,360428.11617021274,6307547.322382979,1025.0,zona777
204,114479,166388.87580000007,49543,71392.2037,359693.383050306,6306916.733781455,1.3847113890749287,3280.8393101450056,official_shapezona777,164022.0,359913.78480935487,6306893.386045774,2506.0,zona777
206,1258925,1671285.2168000033,1472045,2024960.4612999929,351700.9623259166,6301910.60316869,1.7745900664328216,2068.8192218359327,official_shapezona777,2730970.0,351136.17565517017,6301222.358647293,3088.0,zona777
207,142960,193331.19770000057,105873,148538.35580000002,353193.49099696765,6302188.331446027,1.1226246847687888,1873.0881936224177,official_shapezona777,248833.0,353250.6725675453,6302049.135540704,2320.0,zona777
208,121417,168196.9503000003,147545,204736.3971,353839.0745467086,6303032.942290427,1.2950915619765302,2314.8962610088056,official_shapezona777,268962.0,353444.32523553516,6303064.106338442,1778.0,zona777
209,6048,9925.861400000002,41409,57406.27559999997,354968.10616086103,6303757.545945763,0.6818760054010166,1489.8394770073355,official_shapezona777,47457.0,354894.42876709445,6303898.513117137,1732.0,zona777
21,13520,21064.077600000015,14333,21221.586000000003,343202.72250513313,6303988.05112657,0.44538967422769976,1264.705059511587,official_shapezona777,27853.0,343230.2000502639,6304131.5181488525,1527.0,zona777
210,141211,194249.1986999998,125405,174040.87540000002,356103.228727161,6304254.543818606,0.7051446087842859,1531.361170086544,official_shapezona777,266616.0,356310.7630599814,6304178.600035257,1368.0,zona777
211,31277,44561.171599999994,76791,104812.4368,357314.4600042605,6304681.578643103,0.8577485332155785,1440.2157522327034,official_shapezona777,108068.0,357098.2712458822,6304873.827553022,1517.0,zona777
212,7204,12194.195300000001,65057,89862.07760000003,360046.4298486421,6306273.164399819,2.0775848657985434,2443.443959127704,official_shapezona777,72261.0,359487.5860699409,6306580.485337872,2457.0,zona777
213,836462,1090315.737300006,900095,1220851.120699998,354946.1582913657,6302957.820579538,0.9185484161480267,1705.099138565245,official_shapezona777,1736557.0,354289.90463946766,6302307.307069103,1865.0,zona777
214,506719,658932.8260000017,564185,760633.9176999994,352019.35140947974,6301267.431299243,0.7906526881435884,1742.5848028307082,official_shapezona777,1070904.0,351891.14174193016,6301448.990397832,1931.0,zona777
215,589600,769756.4142000001,589839,803034.6651999992,353309.6631457784,6301280.902371477,0.8912834095335314,1348.7702812543139,official_shapezona777,1179439.0,352718.37988908286,6301638.909761336,1739.0,zona777
216,167461,217893.0856000001,102081,139047.99850000005,353997.05028664856,6301711.580330677,0.7134522548441058,1089.8219350297004,official_shapezona777,269542.0,354061.1007746474,6301963.532955903,1760.0,zona777
217,219392,292842.3296999993,246347,336963.1236,355011.58079643873,6301865.293908803,1.3062917929383489,1424.6604881496169,official_shapezona777,465739.0,355253.6044050423,6302345.224119089,2132.0,zona777
218,36994,52629.387,93518,127087.77840000002,355648.1101573735,6302979.045955565,0.9234739266619765,1607.214622032072,official_shapezona777,130512.0,355672.1895840996,6303314.808009991,2130.0,zona777
219,58401,77242.02530000001,38134,52740.06949999998,356421.489736713,6303097.49076019,1.349569993484916,1959.594531212002,official_shapezona777,96535.0,356321.9618480344,6302649.755891645,2327.0,zona777
22,12408,19807.97980000001,6942,10682.072599999998,343673.6757048402,6304282.620812725,0.5358029240757421,1069.0886025065556,official_shapezona777,19350.0,343866.6318346253,6304310.846356589,993.0,zona777
220,32725,46267.80850000004,25176,34441.34869999998,359065.5516115341,6304531.778790148,3.636334099070815,3614.500457076181,official_shapezona777,57901.0,358938.3722733632,6304138.753372136,3386.0,zona777
