unit_id,origin_trip_count,origin_expanded_mass,destination_trip_count,destination_expanded_mass,unit_x_32719,unit_y_32719,unit_area_km2,unit_bbox_span_m,representation
85b2c50bfffffff,8606310,12026092.977300145,8538123,12075639.604100103,357817.66967436566,6292635.091174544,218.23283548618784,18854.50685622025,h3_r5
85b2c51bfffffff,3728188,5188161.643100008,3650229,5036834.824200016,358811.6929341473,6308108.511675896,218.88668399432157,18872.42931636976,h3_r5
85b2c543fffffff,2949965,4285024.226599969,2755307,3997962.765700008,329503.92496275355,6291601.371786909,218.93693949679715,18897.106109020417,h3_r5
85b2c547fffffff,6858582,10168040.975799955,6243818,9173153.96330006,343179.57859004755,6284388.971717142,218.25783586502666,18866.816277777543,h3_r5
85b2c553fffffff,1013025,1576138.2193000023,904303,1340027.7237999975,330470.9814788974,6307092.13181486,219.59431125593062,18915.139227694366,h3_r5
85b2c557fffffff,34086696,47768001.55189992,35449769,49866340.34960004,344158.707219383,6299855.822911156,218.9140937028577,18884.83403540682,h3_r5
85b2c573fffffff,2627394,3819064.761999974,2368891,3424398.7157000126,356826.4523127024,6277192.121285639,217.57771329732236,18836.504957549565,h3_r5
85b2c57bfffffff,39514,63591.593699999976,30937,50846.53899999999,342203.31854050333,6268952.658325924,217.60032711661057,18848.71934223408,h3_r5
85b2c5cffffffff,604207,883546.9888999991,572504,812458.4532000003,345140.6983079779,6315353.119408234,219.56905522226643,18902.771733470494,h3_r5
