unit_id,origin_trip_count,origin_expanded_mass,destination_trip_count,destination_expanded_mass,unit_x_32719,unit_y_32719,unit_area_km2,unit_bbox_span_m,geometry_source,support_endpoint_count,support_x_32719,support_y_32719,support_bbox_span_m,representation,tile_id,partition
0,51429,73245.2129,23707,34090.7161,334771.64413174184,6292492.32424998,1.1103985688360956,2039.5593764827356,official_shapezona777,75136.0,334868.3071896295,6292850.445099553,1886.0,zona777,E22_N419,train
1,28839,47012.6106,24460,36010.5768,344118.2183923484,6302811.854128011,0.5746533564630746,1221.423961211869,official_shapezona777,53299.0,343932.389481979,6302847.888778402,1473.0,zona777,E22_N420,validation
10,40418,65492.7497,34511,51492.0785,342452.2969712653,6306446.5621588975,0.9110522151225084,1331.7756765686208,official_shapezona777,74929.0,342667.4274313016,6306558.650495803,1509.0,zona777,E22_N420,validation
100,46155,69185.1341,22255,33160.0341,341205.56149273843,6300613.943524592,0.8059088842003352,1212.0302322171628,official_shapezona777,68410.0,341243.8416459582,6300712.43787458,1457.0,zona777,E22_N420,validation
101,19140,30653.8862,20712,30535.5658,341663.5683828388,6300176.602085679,0.7070761302860362,1261.861893653404,official_shapezona777,39852.0,341683.1401435311,6300285.687016963,1059.0,zona777,E22_N420,validation
102,35019,51147.7738,25364,37545.3344,342481.4900936455,6300147.86119011,0.4461600709305608,995.7420015744864,official_shapezona777,60383.0,342594.84015368565,6300053.697050494,1536.0,zona777,E22_N420,validation
103,49747,68921.207,22110,31867.8832,342906.1333042147,6299985.05024435,0.3238386680322725,1032.5360896373168,official_shapezona777,71857.0,342961.9134670248,6299714.809955885,1324.0,zona777,E22_N419,train
104,54667,78159.2797,37087,54669.2465,343279.38597018644,6298754.455093979,0.9545605589194306,1160.4327031600403,official_shapezona777,91754.0,343241.2326765046,6298898.147197942,1354.0,zona777,E22_N419,train
105,18721,29218.694600000003,20110,29125.0802,340669.7705766653,6299758.972201464,0.6461507793939579,1152.5237889247364,official_shapezona777,38831.0,340683.55164688005,6299889.8925858205,1157.0,zona777,E22_N419,train
106,21950,34146.4962,17745,26062.6068,341809.3646027574,6299698.801281048,0.4273715220253368,1508.2011581889235,official_shapezona777,39695.0,341632.1650837637,6299743.721778561,1641.0,zona777,E22_N419,train
107,15566,22025.1088,9789,14215.0749,340359.3911408632,6299348.469596002,0.3989352183628682,773.9590860884637,official_shapezona777,25355.0,340350.25040425954,6299525.221928613,1094.0,zona777,E22_N419,train
108,33001,47287.5825,28507,41196.223,341122.86474987515,6299160.730980478,0.6032762140617168,1300.0117932761204,official_shapezona777,61508.0,341262.12169148726,6299423.806919425,1380.0,zona777,E22_N419,train
109,132699,183408.4087,144989,206959.3044,341684.7411175859,6298785.662886281,0.3877159724922895,863.9758934988058,official_shapezona777,277688.0,341301.6848657486,6298470.951189824,907.0,zona777,E22_N419,train
11,138762,195867.2042,160785,232515.7066,343329.59404163924,6306406.650315538,0.7225366092615276,1694.1165404376225,official_shapezona777,299547.0,343320.8666619929,6306184.948111649,2115.0,zona777,E22_N420,validation
110,211851,301350.89660000004,279857,398444.3212,342504.8336645013,6299143.346142752,0.816795027967254,1246.3119159514315,official_shapezona777,491708.0,342723.42584013275,6298972.410025869,1398.0,zona777,E22_N419,train
