unit_id,origin_trip_count,origin_expanded_mass,destination_trip_count,destination_expanded_mass,unit_x_32719,unit_y_32719,unit_area_km2,unit_bbox_span_m,representation,tile_id,partition
88b2c50801fffff,974,1507.462,973,1356.9823999999999,357817.6696743645,6292635.091174544,0.6362477919215906,941.7072691718349,h3_r8,E23_N419,train
88b2c50803fffff,2368,3743.3535,2176,3024.9762,358354.29997374676,6292025.250379629,0.6361277209218209,941.6165017923922,h3_r8,E23_N419,train
88b2c50805fffff,604,952.4336,60,83.975,356941.7510638955,6292445.748082794,0.6362915846484025,941.7820416517789,h3_r8,E23_N419,train
88b2c50807fffff,1740,2719.7598,1823,2524.5471000000002,357478.4506142206,6291835.903749632,0.636171519188931,941.6912743829889,h3_r8,E23_N419,train
88b2c50809fffff,3,5.663600000000001,41,65.4627,358156.9174217882,6293434.3395787645,0.6363240412548119,941.7232495508506,h3_r8,E23_N419,train
88b2c5080dfffff,1008,1585.3293,492,681.3623,357280.97247762536,6293245.010308456,0.6363678620539558,941.7980320106144,h3_r8,E23_N419,train
88b2c50815fffff,825,1227.2406,638,927.9174,358890.86336968455,6291415.487919785,0.6360076490763076,941.525729882298,h3_r8,E23_N419,train
88b2c50823fffff,3930,6267.082,2650,3811.4272,356263.39436420915,6290847.406613413,0.6361389596807696,941.7500177030452,h3_r8,E23_N419,train
88b2c50825fffff,32263,48883.4551,25152,36581.3125,354850.6451999681,6291267.802210009,0.6363027123179326,941.9155315861572,h3_r8,E23_N419,train
88b2c50827fffff,20566,32023.4933,15177,22172.591,355387.4856058418,6290658.02563053,0.6361826626704112,941.824760121468,h3_r8,E23_N419,train
88b2c50829fffff,5578,8544.839,5355,7465.643099999999,356065.7895531341,6292256.394714886,0.6363353437591974,941.8568040376995,h3_r8,E23_N419,train
88b2c5082bfffff,2829,4381.9617,3545,4945.2585,356602.5583549562,6291646.546845046,0.6362152838515079,941.7660368825891,h3_r8,E23_N419,train
88b2c5082dfffff,8908,13735.9018,8964,12739.4542,355189.78515777865,6292067.031070291,0.6363790692384976,941.9315563214477,h3_r8,E23_N419,train
88b2c50831fffff,2457,3633.0159,2586,3617.5543000000002,357675.89524647675,6290427.086142506,0.6359751614524485,941.5844889660948,h3_r8,E23_N419,train
88b2c50835fffff,69,108.2453,97,138.0922,356800.09860939573,6290237.711910548,0.6360189036037193,941.6592415889609,h3_r8,E23_N419,train
88b2c50839fffff,1119,1609.5628,664,936.8803,358015.0832618196,6291226.137757516,0.6360514528717666,941.6005025806953,h3_r8,E23_N419,train
88b2c5083bfffff,1844,2683.8384,1645,2317.2374,358551.64900060836,6290616.450102506,0.6359313857134437,941.5097262491472,h3_r8,E23_N419,train
88b2c5083dfffff,3975,5994.98,3916,5552.173400000001,357139.2602547647,6291036.777322234,0.6360952230759037,941.6752651875722,h3_r8,E23_N419,train
88b2c50841fffff,67398,100319.48640000001,68563,98991.40460000001,357959.5013658145,6294843.717650648,0.6365203466100193,941.829969489132,h3_r8,E23_N419,train
88b2c50843fffff,28952,46334.1591,29315,43058.4209,358496.1938430746,6294233.648944078,0.6364002671747668,941.7392155244015,h3_r8,E23_N419,train
88b2c50845fffff,73970,112063.466,82092,114837.77840000001,357083.4608578065,6294654.405769737,0.6365641899414964,941.9047618054319,h3_r8,E23_N419,train
88b2c50847fffff,5245,8632.2354,4092,6259.187,357620.22258273757,6294044.333503815,0.6364441160467481,941.8140079579898,h3_r8,E23_N419,train
88b2c50849fffff,14096,20788.1836,11553,16574.7859,358298.80881342717,6295643.162730716,0.6365965537245135,941.845916603168,h3_r8,E23_N419,train
88b2c5084bfffff,2,3.074,0,0.0,358835.4989248041,6295033.019252263,0.6364764696553609,941.7551670823013,h3_r8,E23_N419,train
88b2c5084dfffff,42300,62719.3358,38554,56091.327900000004,357422.7420080509,6295453.864696016,0.6366404251409297,941.9207188904402,h3_r8,E23_N419,train
88b2c50855fffff,0,0.0,2,2.8262,359032.8194337309,6293623.658572396,0.6362801868525305,941.6484570078319,h3_r8,E23_N419,train
88b2c50861fffff,12130,18624.3851,10624,15244.164799999999,355868.1512794333,6293665.671788009,0.6365317129165469,941.9635625428054,h3_r8,E23_N419,train
88b2c50863fffff,832,1271.9637,453,612.1306,356404.9846169309,6293055.670760943,0.6364116492306037,941.8728043755982,h3_r8,E23_N419,train
88b2c50865fffff,18121,27693.2201,17966,25824.657,354992.05126785836,6293476.325511412,0.6365754608881722,942.0383246827405,h3_r8,E23_N419,train
88b2c50867fffff,2544,3892.0587,2607,3606.2985,355528.95385539974,6292866.320935697,0.6364554027757209,941.9475666410872,h3_r8,E23_N419,train
88b2c50869fffff,7266,13062.6962,6621,9770.903,356207.3774164745,6294465.083609005,0.6366079996363964,941.9795440253802,h3_r8,E23_N419,train
88b2c5086bfffff,1348,2466.8623000000002,579,851.6031,356744.208389627,6293855.007785303,0.6364879312991675,941.8887903004652,h3_r8,E23_N419,train
88b2c5086dfffff,13148,19719.9997,13336,19089.6857,355331.2510575148,6294275.751167923,0.6366517756841676,942.054316143156,h3_r8,E23_N419,train
88b2c50901fffff,27813,39721.7873,20142,28589.703,351685.3390444539,6291309.473714482,0.6365536346057485,942.2304643185926,h3_r8,E23_N419,train
88b2c50903fffff,51955,73891.5311,33412,49546.7017,352222.454111857,6290699.608184872,0.6364336026806361,942.1396978015546,h3_r8,E23_N419,train
88b2c50905fffff,294698,412145.9296,328701,468286.484,350809.12046171335,6291120.058678534,0.6365971917467262,942.3051660035271,h3_r8,E23_N419,train
88b2c50907fffff,15162,20439.1965,12131,17717.6615,351346.30478382297,6290510.189621695,0.6364771654631804,942.2143996292143,h3_r8,E23_N419,train
