unit_id,origin_trip_count,origin_expanded_mass,destination_trip_count,destination_expanded_mass,unit_x_32719,unit_y_32719,unit_area_km2,unit_bbox_span_m,representation,tile_id,partition
87b2c5080ffffff,6146,9641.9617,5532,7679.406599999999,357817.66967436566,6292635.091174544,4.453734487187739,2693.501567386964,h3_r7,E23_N419,train
87b2c5081ffffff,419,630.5908000000001,288,413.9274,359766.60056268226,6291604.827809572,4.451746625780711,2692.882395823195,h3_r7,E23_N419,train
87b2c5082ffffff,77164,118342.8401,60903,87926.1061,355726.623211637,6291457.179665347,4.453813048024381,2693.7539375182823,h3_r7,E23_N419,train
87b2c5083ffffff,10036,15002.2812,9014,12733.7501,357675.89524647675,6290427.086142506,4.451826074005908,2693.134873431758,h3_r7,E23_N419,train
87b2c5084ffffff,262613,396382.4083999999,244371,350331.8524,357959.5013658133,6294843.717650648,4.455642369903897,2693.868029742269,h3_r7,E23_N419,train
87b2c5085ffffff,27,54.0682,2,2.8262,359908.67849777173,6293812.967289878,4.453654035713533,2693.248812145903,h3_r7,E23_N419,train
87b2c5086ffffff,54660,85430.4099,52568,75574.6852,355868.1512794333,6293665.671788009,4.455721934042178,2694.12067755498,h3_r7,E23_N419,train
87b2c5090ffffff,875198,1220112.1688000008,908989,1294968.0421000004,351685.3390444528,6291309.47371448,4.455875385854993,2694.6248169789906,h3_r7,E23_N419,train
87b2c5091ffffff,196075,288149.3112,171125,245963.1937,353635.5395484681,6290279.232840448,4.4538897180525865,2694.005922361859,h3_r7,E23_N419,train
87b2c5092ffffff,223826,325198.45249999996,200872,289076.593,349593.87777407974,6290131.321659982,4.455949273201796,2694.876308243489,h3_r7,E23_N419,train
87b2c5093ffffff,1311535,1809716.655400001,1396625,1993847.9756000005,351544.41912378103,6289101.250778027,4.453964497117696,2694.2575217462145,h3_r7,E23_N419,train
87b2c5094ffffff,246249,353783.41589999996,221477,315109.9515,351826.3167595047,6293518.318589503,4.457785745493718,2694.9918805717607,h3_r7,E23_N419,train
87b2c5095ffffff,281110,397109.085,264377,373982.1398,353776.76369261777,6292487.590449892,4.455799606082578,2694.3729400242446,h3_r7,E23_N419,train
87b2c5096ffffff,705347,930175.3436999996,767056,1049445.3215,349734.5511490477,6292340.031956786,4.457860633612745,2695.2436494581634,h3_r7,E23_N419,train
87b2c5098ffffff,50762,76455.8121,44773,67025.3957,355443.7394365335,6287042.060784418,4.449993691338997,2693.0197633336065,h3_r7,E23_N419,train
87b2c5099ffffff,14876,22495.1987,9734,14137.4843,357392.51826020645,6286012.941485781,4.448007667013688,2692.400792189641,h3_r7,E23_N419,train
87b2c509affffff,404786,564834.6354000001,382585,547914.2919000001,353353.2641700113,6285864.383748863,4.450068361409326,2693.2711932518287,h3_r7,E23_N419,train
87b2c509bffffff,222663,337670.8898,184806,272491.3467,355302.38376795757,6284835.434562687,4.448083226052709,2692.6523299198598,h3_r7,E23_N418,validation
87b2c509cffffff,127791,188240.0783,107312,153926.2054,355585.1525908682,6289249.309241269,4.45190363289523,2693.386965990532,h3_r7,E23_N419,train
87b2c509dffffff,10918,16023.5899,9711,14142.608900000001,357534.1781018771,6288219.702823512,4.449917133054892,2692.7679482438252,h3_r7,E23_N419,train
87b2c509effffff,139077,204635.24730000002,119194,170888.0846,353494.37303456804,6288071.497184003,4.451979302266813,2693.638673315407,h3_r7,E23_N419,train
87b2c50a2ffffff,92400,137415.907,87407,124619.88660000001,358101.39030101453,6297052.965301101,4.457549719453198,2694.234260133526,h3_r7,E23_N419,train
87b2c50a4ffffff,731,1098.3251,570,791.0491,360335.25470161776,6300441.111786561,4.45937306383339,2694.346669417224,h3_r7,E24_N420,train
87b2c50a6ffffff,21391,30773.6382,24011,33611.9016,358243.33646007604,6299262.833855437,4.459456533151583,2694.60025819327,h3_r7,E23_N419,train
87b2c50b0ffffff,831468,1121555.8057000006,882540,1236590.0148,354059.3847948759,6296906.170450758,4.459617788072542,2695.106279738189,h3_r7,E23_N419,train
87b2c50b1ffffff,269600,397989.5849,285878,408282.2096,356009.7367747617,6295874.785339866,4.457630288250588,2694.487185736536,h3_r7,E23_N419,train
87b2c50b2ffffff,457037,631056.5677999998,426878,594433.1326,351967.35224998475,6295727.785133599,4.45969557333383,2695.3587121549062,h3_r7,E23_N419,train
87b2c50b3ffffff,523122,725080.4728000001,506394,723947.5081,353918.0454478423,6294696.569743268,4.4577089636520135,2694.7397259394056,h3_r7,E23_N419,train
87b2c50b4ffffff,346041,473939.02190000017,360735,500317.6614,354200.78171438223,6299116.392301796,4.461526076642641,2695.4726010545273,h3_r7,E23_N419,train
87b2c50b5ffffff,263897,366056.2795,248466,346071.78260000004,356151.37967804435,6298084.520050772,4.459538107960083,2694.853461692692,h3_r7,E23_N419,train
87b2c50b6ffffff,566114,764099.3302000002,542128,752725.7624000001,352108.4454968689,6297937.873076537,4.461604866681707,2695.7253113660845,h3_r7,E23_N419,train
87b2c5180ffffff,150234,231134.5325,153442,217207.2422,358811.6929341473,6308108.511675896,4.467078375352485,2696.0619198242202,h3_r7,E23_N420,test
