tile,cpc_numerator,observed_mass,predicted_mass,full_domain_observed_mass,origins,empty_assigned_tile,cpc,legacy_mixed_support_ratio
390,1912.0,956.0,956.0,1275.0,1,False,1.0,0.7498039215686274
94,66130.54874530731,35465.0,35465.0,74022.0,18,False,0.9323353834105077,0.44669523077806134
352,20087.422118919298,10981.0,10980.999999999998,20376.0,4,False,0.9146444822383798,0.4929186817559702
119,17688.986525969012,8991.0,8991.0,18116.0,2,False,0.9837051788437889,0.4882144658304541
216,0.0,0.0,0.0,0.0,1,False,0.0,0.0
101,10744.738595427665,5373.0,5372.999999999999,10368.0,3,False,0.9998826163621501,0.5181683350418435
300,11193.98224589843,5676.0,5676.0,11160.0,2,False,0.9860801837472191,0.5015225020563813
331,2770.0,1385.0,1385.0,2526.0,1,False,1.0,0.5482977038796516
23,214646.76409302952,150479.0,150479.0,207002.0,39,False,0.7132116909769121,0.5184654353412758
165,3682.5932500176864,1842.0,1841.9999999999998,3475.0,6,False,0.9996181460417173,0.5298695323766455
156,207588.1688550543,129201.0,129201.0,162457.0,23,False,0.8033535686838891,0.6389018905158113
221,15391.695757908645,7921.0,7921.0,13447.0,2,False,0.971575290866598,0.5723096511455583
388,8529.389611746668,4265.0,4264.999999999999,7000.0,2,False,0.999928442174287,0.609242115124762
275,0.0,0.0,0.0,0.0,1,False,0.0,0.0
362,1414.0,707.0,707.0,1026.0,1,False,1.0,0.6890838206627681
214,0.0,0.0,0.0,0.0,1,False,0.0,0.0
379,35603.98004314248,19484.0,19484.0,34542.0,7,False,0.9136722449995505,0.5153723010124266
47,15542.945997198494,8150.0,8150.000000000001,15672.0,3,False,0.9535549691532819,0.4958826568784614
445,17600.694945803618,9552.0,9552.0,16687.0,8,False,0.9213094088046282,0.5273774478876856
284,1082.0,541.0,541.0,902.0,1,False,1.0,0.5997782705099778
88,14763.797975082365,7592.0,7592.0,12663.0,2,False,0.9723259994126953,0.5829502477723433
50,15655.442855056717,8126.0,8126.0,14543.0,3,False,0.9632933088270192,0.5382466772693638
447,0.0,0.0,0.0,0.0,2,False,0.0,0.0
78,18761.79423434805,10399.0,10399.0,16910.0,3,False,0.9020960781973291,0.5547544126063882
456,243241.83456334384,150759.0,150759.0,279779.0,38,False,0.806724091309122,0.43470352414467106
206,0.0,0.0,0.0,0.0,3,False,0.0,0.0
135,21935.983424804712,11507.0,11507.0,19943.0,3,False,0.9531582265058101,0.5499669915460239
450,373712.3643149622,241207.0,241207.0,415871.0,64,False,0.7746714737030065,0.4493128449867413
248,7409.972852988328,3720.0,3720.0,7300.0,3,False,0.9959640931435925,0.5075323871909814
84,451732.06772912724,374992.0,374992.0,523017.0,89,False,0.6023222731806642,0.43185218427807054
140,0.0,0.0,0.0,0.0,0,True,0.0,0.0
57,7730.431085469403,3866.0,3866.0000000000005,7248.0,2,False,0.9997970881362395,0.5332802901124036
401,67439.30870450559,35739.0,35739.0,57230.0,8,False,0.9434974216472983,0.5891954281365157
467,8906.836086090429,4563.0,4563.0,7440.0,6,False,0.9759846686489622,0.5985776939576901
107,59958.36211866046,34439.0,34439.0,56001.0,9,False,0.8705009163834673,0.5353329593994791
32,560987.414344227,501778.0,501778.0,702365.0,127,False,0.5589996117249332,0.39935604304330874
147,27181.380789036597,14305.0,14305.0,27815.0,5,False,0.950065738868808,0.4886101166463526
212,87072.58833090137,54626.0,54626.0,71432.0,14,False,0.796988506671744,0.6094788633308698
411,135477.14044169485,91567.0,91567.0,142146.0,28,False,0.7397705529377114,0.4765422187106737
389,0.0,0.0,0.0,0.0,1,False,0.0,0.0
251,3923.6459265503117,1962.0,1961.9999999999998,3497.0,2,False,0.9999097672146564,0.5610017052545484
148,269274.94182528666,183765.0,183765.0,267544.0,37,False,0.732661121065727,0.5032348731896187
196,9462.0,4731.0,4731.0,8564.0,1,False,1.0,0.5524287716020552
320,56590.67756271219,31660.0,31660.0,55594.0,12,False,0.8937251668147851,0.5089638950490357
230,0.0,0.0,0.0,0.0,2,False,0.0,0.0
437,2943.818579935531,1472.0,1472.0,3679.0,2,False,0.9999383763367973,0.4000840690317384
274,4574.0,2287.0,2287.0,5174.0,1,False,1.0,0.4420177812137611
161,17972.150007073156,9537.0,9537.000000000002,17587.0,6,False,0.942232882828623,0.5109498495216113
271,23128.67640507563,13210.0,13210.0,21387.0,9,False,0.8754230282011971,0.5407181092503771
40,16905.39508075187,8802.0,8802.0,18167.0,3,False,0.9603155578704766,0.46527756593691505
143,10560.0,5280.0,5280.0,9563.0,1,False,1.0,0.5521279933075395
359,3030.0,1515.0,1515.0,3988.0,1,False,1.0,0.37988966900702104
365,4129.48386279391,2065.0,2064.9999999999995,4514.0,3,False,0.9998750273108741,0.4574084916696843
18,8844.0,4422.0,4422.0,9273.0,1,False,1.0,0.47686832740213525
349,87739.4505742923,53092.0,53092.0,82107.0,13,False,0.8262963400728199,0.5342994542139665
318,83247.1079352814,45473.0,45473.0,83423.0,13,False,0.9153465565861214,0.49894578195030986
31,205911.72564143135,127704.0,127704.0,198072.0,26,False,0.8062070320484532,0.5197900905767381
82,30818.472213590103,17168.0,17168.0,32065.0,6,False,0.8975556912159279,0.4805624857880883
87,5816.0,2908.0,2908.0,6746.0,1,False,1.0,0.43107026386006525
256,8763.46144112748,4382.0,4382.0,8138.0,2,False,0.9999385487365906,0.5384284493197026
166,5118.0,2559.0,2559.0,5115.0,1,False,1.0,0.5002932551319648
348,179586.71623674338,112219.0,112219.0,174543.0,27,False,0.8001618096612132,0.5144483486497406
227,0.0,0.0,0.0,0.0,1,False,0.0,0.0
195,12612.27666392547,6416.0,6416.0,14407.0,2,False,0.9828769220640172,0.43771349565924444
287,0.0,0.0,0.0,0.0,1,False,0.0,0.0
164,8483.996869724519,4244.0,4244.000000000001,8873.0,3,False,0.9995283776772524,0.47807939083311835
99,7843.265591853255,4008.0,4008.0,8061.0,2,False,0.9784512963888791,0.48649457833105414
191,9419.965926892242,4710.0,4710.000000000001,6170.0,2,False,0.9999963828972657,0.7633683895374589
4,14822.642871139724,8040.0,8040.0,14406.0,4,False,0.9218061487027192,0.5144607410502473
383,251522.5610326336,195854.0,195854.0,300884.0,60,False,0.6421174983217948,0.4179726423349756
358,0.0,0.0,0.0,0.0,2,False,0.0,0.0
21,37902.45316760476,19932.0,19932.0,41754.0,6,False,0.9507940288883394,0.45387810949375823
58,7064.0,3532.0,3532.0,6462.0,1,False,1.0,0.546580006190034
207,6923.0212589341245,3462.0,3461.9999999999995,7153.0,3,False,0.9998586451377997,0.48392431559724064
173,15420.913928137223,7916.0,7916.0,15618.0,3,False,0.9740344825756204,0.4936904190081068
177,50515.48546457527,27851.0,27851.0,49646.0,7,False,0.9068881811169307,0.5087568531661691
213,14324.048805352755,7390.0,7390.0,13362.0,2,False,0.9691507987383461,0.5359994314231685
290,10068.0,5034.0,5034.0,10521.0,1,False,1.0,0.478471628172227
98,12901.870622789771,6804.0,6804.0,12893.0,3,False,0.9481092462367556,0.5003440092604425
297,1472.0,736.0,736.0,1797.0,1,False,1.0,0.4095715080690039
5,13230.086073143448,7164.0,7164.0,12407.0,2,False,0.9233728415091742,0.5331702294327173
209,4513.784858395553,2257.0,2257.0,4506.0,2,False,0.9999523390331309,0.5008638324895198
126,0.0,0.0,0.0,0.0,0,True,0.0,0.0
373,333561.9088749015,232798.0,232798.0,369550.0,51,False,0.716419189329164,0.45130822469882487
56,0.0,0.0,0.0,0.0,1,False,0.0,0.0
39,18184.72123522809,9335.0,9335.0,16069.0,2,False,0.9740075648220724,0.5658323864343796
354,26446.12636467753,14196.0,14196.0,28378.0,5,False,0.9314640167891494,0.46596177258223853
202,4144.0,2072.0,2072.0,4025.0,1,False,1.0,0.5147826086956522
386,4614.178827286,2310.0,2310.0,4195.0,5,False,0.9987400059060607,0.5499617195811681
264,0.0,0.0,0.0,0.0,2,False,0.0,0.0
189,6080.0,3040.0,3040.0,6265.0,1,False,1.0,0.4852354349561053
347,121786.31565632416,77070.0,77070.0,129146.0,17,False,0.7901019570281832,0.4715063403292559
345,308643.5337152381,190247.0,190246.99999999997,269187.0,54,False,0.8111653106625547,0.5732883343460831
325,7934.744571747195,4013.0,4013.0,8166.0,2,False,0.9886300238907544,0.48584034850276725
178,9942.857978516497,4972.0,4971.999999999999,10273.0,2,False,0.9998851547180708,0.4839315671428257
85,0.0,0.0,0.0,0.0,0,True,0.0,0.0
60,4720.0,2360.0,2360.0,4860.0,1,False,1.0,0.48559670781893005
355,116153.82507842907,89004.0,89004.0,139748.0,27,False,0.652520252339384,0.41558313921640766
203,0.0,0.0,0.0,0.0,0,True,0.0,0.0
174,0.0,0.0,0.0,0.0,1,False,0.0,0.0
80,20170.088576911723,10550.0,10550.0,15254.0,3,False,0.9559283685740153,0.6611409655471261
356,70837.96336531143,41379.0,41379.0,70630.0,10,False,0.8559651437360911,0.5014722027843086
328,69360.95612903399,39669.0,39669.0,52684.0,10,False,0.8742463400770626,0.6582734428767177
417,4108.0,2054.0,2054.0,3421.0,1,False,1.0,0.6004092370651856
103,38060.873701021235,21668.0,21667.999999999996,34936.0,7,False,0.8782738070200581,0.5447228317641005
157,11217.525935916223,5660.0,5660.0,13026.0,3,False,0.9909475208406557,0.4305821409456557
255,50052.81032896931,29524.0,29524.0,40391.0,7,False,0.8476630932287175,0.6196035048521863
342,1505611.7138763438,2103609.0,2103609.0,2922922.0,432,False,0.3578639647093029,0.2575524960769298
434,0.0,0.0,0.0,0.0,0,True,0.0,0.0
54,21823.517745005825,13074.0,13074.0,20828.0,8,False,0.8346151807023797,0.5238985439073801
210,4489.897322882682,2245.0,2245.0,3921.0,2,False,0.9999771320451407,0.5725449276820558
293,113695.44064008718,74631.0,74631.0,114524.0,17,False,0.7617172531527594,0.49638259508961957
43,34448.56619853669,17663.0,17663.0,38832.0,8,False,0.9751618127876547,0.4435590002901819
49,15350.54259222951,7727.0,7726.999999999999,14301.0,2,False,0.9933054608664107,0.5366947273697472
306,1698.0,849.0,849.0,1514.0,1,False,1.0,0.5607661822985469
146,6475.552283885532,3239.0,3239.0,7425.0,3,False,0.9996221494111658,0.4360641268609786
246,6038.569561612436,3048.0,3048.0,4720.0,2,False,0.9905789963274994,0.6396789789843682
42,49358.245107931965,27036.0,27036.0,52250.0,8,False,0.9128244767704535,0.47232770438212407
439,1960.0,980.0,980.0,2088.0,1,False,1.0,0.46934865900383144
278,15504.340003674386,8185.0,8185.0,13963.0,2,False,0.9471191205665477,0.5551937264081639
17,11332.0,5666.0,5666.0,9518.0,1,False,1.0,0.5952931288085732
118,29357.77393805279,15739.0,15738.999999999998,28714.0,4,False,0.9326441939784227,0.511210105489531
408,26530.125432101744,14104.0,14104.0,24709.0,4,False,0.9405177762372995,0.5368514596321532
295,20888.239462549507,12644.0,12644.0,21369.0,4,False,0.8260138983924987,0.48875098185571403
113,21895.931837432414,11943.0,11943.0,21634.0,3,False,0.9166847457687521,0.5060537079927987
444,0.0,0.0,0.0,0.0,1,False,0.0,0.0
270,6214.319276811281,3110.0,3110.0,6798.0,5,False,0.9990867004519745,0.4570696731988292
277,2845.501833395832,1423.0,1423.0,3203.0,2,False,0.9998249590287533,0.4441932303146787
241,22383.407155327495,14371.0,14371.0,19802.0,3,False,0.7787699935748207,0.5651804654915538
73,63457.89226170306,35278.0,35277.99999999999,65936.0,6,False,0.8993975319137006,0.4812082342097114
301,24697.593435849558,14080.0,14080.0,20386.0,3,False,0.8770452214435213,0.6057488824646708
70,15325.735652384976,7713.0,7713.0,14062.0,2,False,0.9935003015937363,0.5449344208642076
399,1412102.3513599548,1396365.0,1396365.0,1865001.0,169,False,0.5056351137990264,0.37857951587156113
45,5656.0,2828.0,2828.0,4702.0,1,False,1.0,0.6014461931093151
333,2132.0,1066.0,1066.0,1474.0,1,False,1.0,0.723202170963365
