tile,cpc_numerator,observed_mass,predicted_mass,full_domain_observed_mass,origins,empty_assigned_tile,cpc,legacy_mixed_support_ratio
390,1912.0,956.0,956.0,1275.0,1,False,1.0,0.7498039215686274
94,64204.97026467342,35465.0,35465.0,74022.0,18,False,0.9051877945111155,0.43368843225442044
352,19823.810478007857,10981.0,10981.0,20376.0,4,False,0.9026414023316572,0.4864500019142093
119,17630.937684490775,8991.0,8991.0,18116.0,2,False,0.9804770150423076,0.486612322932512
216,0.0,0.0,0.0,0.0,1,False,0.0,0.0
101,10745.631391758989,5373.0,5372.999999999999,10368.0,3,False,0.9999656980978028,0.5182113904204759
300,11199.433387745708,5676.0,5676.0,11160.0,2,False,0.9865603759465916,0.5017667288416536
331,2770.0,1385.0,1385.0,2526.0,1,False,1.0,0.5482977038796516
23,204639.77102138728,150479.0,150479.0,207002.0,39,False,0.6799612272190382,0.4942941880305197
165,3681.0472246770096,1842.0,1841.9999999999998,3475.0,6,False,0.9991984866115661,0.5296470826873395
156,204780.28403505078,129201.0,129201.0,162457.0,23,False,0.7924872254667177,0.6302599581275377
221,15364.750724423771,7921.0,7921.0,13447.0,2,False,0.9698744302754558,0.571307753566735
388,8529.829316051813,4265.0,4265.0,7000.0,2,False,0.9999799901584775,0.6092735225751296
275,0.0,0.0,0.0,0.0,1,False,0.0,0.0
362,1414.0,707.0,707.0,1026.0,1,False,1.0,0.6890838206627681
214,0.0,0.0,0.0,0.0,1,False,0.0,0.0
379,35311.786215659675,19484.0,19484.0,34542.0,7,False,0.9061739431240935,0.5111427568707613
47,15512.858728131734,8150.0,8149.999999999999,15672.0,3,False,0.9517091244252598,0.49492275166321253
445,17839.537670184574,9552.0,9552.0,16687.0,8,False,0.9338116452148542,0.5345339986272121
284,1082.0,541.0,541.0,902.0,1,False,1.0,0.5997782705099778
88,14556.061090617744,7592.0,7592.0,12663.0,2,False,0.9586446977487977,0.5747477331839905
50,15377.634206874325,8126.0,8126.0,14543.0,3,False,0.9461994958696975,0.5286953932089089
447,0.0,0.0,0.0,0.0,2,False,0.0,0.0
78,19387.195476474866,10399.0,10399.0,16910.0,3,False,0.9321663369783088,0.5732464658922196
456,244607.10774297584,150759.0,150759.0,279779.0,38,False,0.8112520902333388,0.43714343775439873
206,0.0,0.0,0.0,0.0,3,False,0.0,0.0
135,22100.820887314097,11507.0,11507.0,19943.0,3,False,0.9603207129275266,0.5540997063459384
450,332860.05661660037,241207.0,241207.0,415871.0,64,False,0.6899883846998643,0.4001962827614818
248,7410.012581450132,3720.0,3720.0,7300.0,3,False,0.9959694329906091,0.5075351083185021
