origin,cached_area_km2,area_epsg5070_km2,cached_over_projected
36047000700,1.8833197000013976e-11,0.17677489813867986,1.0653773357142221e-10
36047000900,1.7415378500005248e-11,0.16346828249954545,1.0653674360378548e-10
36047001100,1.7952724000005547e-11,0.16850818342709306,1.0653918186574596e-10
36047001300,3.1235922499988887e-11,0.2931684234826631,1.065459988116219e-10
36047002000,1.6410890999991284e-11,0.15413916525628563,1.0646801526857281e-10
36047002100,6.054813800000779e-11,0.5682339508911859,1.065549460834706e-10
36047002200,3.620162600000365e-11,0.3400464532781201,1.0646082513436702e-10
36047002901,1.1640739500005172e-11,0.10925973802139516,1.0654189467052988e-10
36047003400,3.244986914999421e-10,3.048122653292675,1.0645854134163819e-10
36047003700,1.7732270499994e-11,0.16644839338778059,1.0653314303059999e-10
36047003900,1.6716387500013487e-11,0.1569230163624399,1.0652603988572459e-10
36005014100,1.8911615500003688e-11,0.17716581575561105,1.0674528502773388e-10
36005033000,2.2015587499979215e-11,0.20612809189170506,1.0680537183425584e-10
36005021100,1.6193721999998883e-11,0.15166692111202545,1.0677161427993745e-10
36005004600,1.4446389499994223e-11,0.1353378198971156,1.0674318169877741e-10
36005005902,7.509277999993787e-12,0.07034718133436262,1.0674596846036979e-10
36005028100,1.3799238999999908e-11,0.12915734883327412,1.0684052533327382e-10
36005022701,1.2514107000013451e-11,0.11719323615611177,1.0678181958678531e-10
36005031600,1.8922720499994902e-11,0.17716928038194546,1.0680587774133801e-10
36005019500,2.3469633499996645e-11,0.21984400877997262,1.0675584761323132e-10
36005028600,2.1359143999987868e-11,0.20001887317258,1.0678564308058471e-10
36005016400,1.757017550000344e-11,0.16457858073439124,1.0675857952839838e-10
36005036800,1.811037650000268e-11,0.16953000653130915,1.0682696751184292e-10
36005006000,3.5925955999990847e-11,0.33648857738719334,1.0676723792216959e-10
36005037600,1.3328170000002478e-11,0.1247654457976802,1.0682581154413101e-10
36005023301,1.271940399997376e-11,0.11911097472368455,1.0678616331937865e-10
36005004001,1.3146014500014524e-11,0.12314500832445378,1.067523132190493e-10
36005006900,2.0065188500002937e-11,0.18797795922542485,1.0674224032797688e-10
36005003100,1.651047699997061e-11,0.15470352712156601,1.0672333919702217e-10
36005039000,1.9406486499986676e-11,0.1816467899177934,1.068363856513475e-10
36005042800,1.8080291999998053e-11,0.1691999100684315,1.068575745264027e-10
36005038800,1.5881780000002987e-11,0.1486586866687877,1.0683385112494416e-10
36005005600,1.4539316500000047e-11,0.13618846494546852,1.0675879565733972e-10
36005014500,1.9419559499999183e-11,0.18190343617148275,1.0675751876227402e-10
36091060602,1.1846058179000165e-08,107.08199299274943,1.1062605250354526e-10
36091062507,2.178960050000085e-09,19.79908630352195,1.1005356593715548e-10
36091062509,9.840911224999827e-10,8.932476737732676,1.1017001794619548e-10
36091060601,7.121422931000101e-09,64.36026908800527,1.1064936539128471e-10
36047017700,2.705225304999802e-10,2.5403718298906233,1.0648934432233397e-10
36047017800,1.745219899999496e-11,0.1640189284691042,1.0640356672786327e-10
36047017900,1.6861726500011547e-11,0.15828906117625122,1.0652490055036971e-10
36047018000,1.8738860500016604e-11,0.17610783999682397,1.0640560068395905e-10
36047018200,1.7607356500016896e-11,0.16546349688983764,1.0641233160773539e-10
36047018300,1.4628559999996334e-11,0.13731073901652835,1.0653616829078071e-10
36047018501,1.1836415999996247e-11,0.11109681818377184,1.0654144910268203e-10
36047018600,1.2030950499992103e-11,0.11305465804650361,1.0641711458755927e-10
36047018700,9.13770100000298e-12,0.0857667202570663,1.0654133646028195e-10
36047019000,2.266150750001048e-11,0.21293256733263188,1.0642574681687786e-10
36047019100,2.7040380499983503e-11,0.2537995595684658,1.0654226723624003e-10
36047019200,2.020073249999098e-11,0.18978988849714393,1.0643734848021144e-10
36047019600,2.004144949999303e-11,0.18830749273567107,1.064293789314342e-10
36047019700,1.8090858499981928e-11,0.16981799305339906,1.065308697547337e-10
36047019800,1.4336833500005727e-11,0.13471554879816483,1.0642300482690111e-10
36047019900,2.0123950999980245e-11,0.18891363204539016,1.0652461011995722e-10
36047020000,1.4352294500005516e-11,0.1348581851468053,1.064250900631782e-10
36047020300,1.5002830999994613e-11,0.1408474516891177,1.0651829919585104e-10
36047020400,1.4346754500005284e-11,0.13480084205907475,1.0642926469048318e-10
36047020600,1.819368299999905e-11,0.1709422247300905,1.0643176680732918e-10
36047020700,1.4687053499977018e-11,0.13789348873645402,1.06510130641827e-10
36005026300,1.6958743499984255e-11,0.15877435735488066,1.0681034256734122e-10
36005029700,2.4865315500017827e-11,0.23272901527115442,1.0684235255774641e-10
36005020601,1.6180332500002253e-11,0.15154996697660766,1.0676566166787586e-10
36005042000,1.6081339999996832e-11,0.1504966921462124,1.0685510605358217e-10
36005015800,1.731177399999261e-11,0.1621758113251935,1.0674695479265521e-10
36005007400,1.997738699999496e-11,0.18716214834371078,1.0673839329578448e-10
36005028800,3.59030459999881e-11,0.3361904089666957,1.0679378424369264e-10
36005022902,9.780784000012234e-12,0.09160013203249666,1.067769639954486e-10
36005013300,1.720386800000851e-11,0.16116976848767392,1.0674376566672454e-10
36005017100,1.8641118999997557e-11,0.17458861398952014,1.0677167642281936e-10
36005045101,1.880796349998896e-11,0.1760018667244608,1.0686229555413586e-10
36005008300,2.2832894000020803e-11,0.21393259191717828,1.0672938515539658e-10
36005040400,2.300241999999356e-11,0.21528918847838074,1.0684428773488295e-10
36005046000,3.0749602499993115e-11,0.28781436911423564,1.0683831594171857e-10
36005025200,2.0364986000008382e-11,0.19071499197776307,1.0678230268537512e-10
36005023501,7.282968500020307e-12,0.06819879007521232,1.0679028897709713e-10
36005036501,1.0232224500016164e-11,0.09582571612855707,1.0677952551159545e-10
36005021601,1.7514842499990894e-11,0.164047151372098,1.067671236805756e-10
36005040304,7.1945014999900905e-12,0.06735476772839989,1.0681502947201992e-10
36005022800,1.838916600000765e-11,0.172195396082206,1.067924370708998e-10
36005003800,6.7669849999950215e-12,0.06339704419783257,1.0673975554567531e-10
36005020400,1.4337350000008158e-11,0.13427959247897941,1.067723675304762e-10
36005003300,1.6262637000007358e-11,0.15238504681872497,1.0672068775457446e-10
36005037100,2.1162066000010157e-11,0.1981792393024222,1.0678245649998066e-10
36005013100,2.4655489499987598e-11,0.23096761079974926,1.0674868833173367e-10
36047020800,1.5252913999976207e-11,0.14330927471495983,1.064335440278659e-10
36047021000,1.5967712500035593e-11,0.15002190963473153,1.064358701933155e-10
36047021400,1.7878475999991628e-11,0.16796413351480435,1.0644222445511452e-10
36047021800,1.6799538499975564e-11,0.15782122318474007,1.0644663728344448e-10
36047021900,1.5660931999996206e-11,0.14704318915668602,1.0650566061450325e-10
36059413500,2.1306773850002222e-10,2.000608362546331,1.0650147349620904e-10
36059413600,1.993950115000244e-10,1.8725629048092143,1.0648241027734111e-10
36059413700,1.9769760350002044e-10,1.856940654553233,1.0646414736801866e-10
36059413803,2.3991109849996466e-10,2.2539559230307167,1.064400133332577e-10
36059413804,2.3430059800004064e-10,2.2012758671564825,1.0643854388986715e-10
36059413900,1.9435251849996846e-10,1.8246126787996644,1.0651713690152848e-10
36059414002,1.4565456250000363e-10,1.3675333427039853,1.0650896614484364e-10
36059414201,1.0143427850001864e-10,0.9525500844103486,1.0648708153000574e-10
36065025300,2.346040327000057e-09,21.235006243558324,1.1047985105781319e-10
36059408800,2.3672986800003166e-10,2.2205369281920366,1.0660929120092471e-10
36059416600,2.506173594999643e-10,2.3561565763732166,1.0636702246916648e-10
36059405800,1.1007452750002676e-10,1.0328955411992815,1.0656888630985924e-10
36059412500,1.6546229449998687e-10,1.5536586587417875,1.0649848573172732e-10
36059519602,1.0338344299998952e-10,0.9691803544064471,1.0667100558729793e-10
36065025400,3.001416282500016e-09,27.16756255482429,1.1047793766714042e-10
36067015800,1.1325269204000117e-08,102.74617846984302,1.1022569766255775e-10
36067016001,8.843615885500023e-09,80.18194039484374,1.1029436107371542e-10
36067016002,1.973734684000037e-09,17.878218951901534,1.10398842821539e-10
36067016100,1.6730988319999783e-09,15.162450731772957,1.1034488168156057e-10
36059302400,1.8757232999993728e-10,1.7585559888142563,1.0666270007496998e-10
36059302501,2.3244590000006082e-10,2.1792165528468472,1.0666489280122352e-10
