origin,tile,cpc,cpc_numerator,observed_mass,predicted_mass,full_domain_observed_mass,destination_count,l1_error
36031961300,390,1.0,1912.0,956.0,956.0,1275.0,1,0.0
36055011203,94,0.8707354885493452,3359.2975148233745,1929.0,1929.0,4016.0,18,498.7024851766259
36055011205,94,0.8067902104020146,8098.560132015423,5019.0,5019.000000000001,9098.0,18,1939.4398679845772
36055011207,94,0.8525824580033277,8686.1100821379,5094.0,5093.999999999998,10506.0,18,1501.8899178620975
36055011209,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36055011210,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36055011302,94,0.9276401716375876,12998.094084985878,7006.0,7006.0,13886.0,18,1013.9059150141226
36055011303,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36055011304,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36055011401,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36055011402,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36055011403,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36055011503,94,0.9394889979332022,11082.212219620054,5898.0,5898.000000000001,12636.0,18,713.7877803799466
36055011504,94,0.9320320574731019,11128.462766228835,5970.0,5969.999999999997,13011.0,18,811.5372337711631
36055011506,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36055011507,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36117020103,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36117020105,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36117020202,94,0.9729867514686694,8852.233464861954,4549.0,4549.0,10869.0,18,245.76653513804573
36039080403,352,0.0,0.0,0.0,0.0,0.0,4,0.0
36039080501,352,0.83770364885959,4650.930658468445,2776.0,2776.0000000000005,5246.0,4,901.0693415315563
36039080502,352,0.9596043715619597,7471.479636981418,3893.0,3892.9999999999995,6528.0,4,314.520363018582
36039081101,352,0.8930195016880794,7701.400182557996,4312.0,4312.0,8602.0,4,922.5998174420034
36097950100,119,0.9727970091120791,9436.130988387169,4850.0,4850.0,9530.0,2,263.8690116128323
36109001700,119,0.9894719507490467,8194.806696103604,4141.0,4140.999999999999,8586.0,2,87.1933038963949
36049950301,216,0.0,0.0,0.0,0.0,0.0,1,0.0
36069051302,101,0.0,0.0,0.0,0.0,0.0,3,0.0
36123150200,101,0.9999656980978028,10745.631391758989,5373.0,5372.999999999999,10368.0,3,0.3686082410110041
36123150301,101,0.0,0.0,0.0,0.0,0.0,3,0.0
36095740500,300,0.9865658242037999,6919.772690965452,3507.0,3506.9999999999995,6559.0,2,94.22730903454756
36095740600,300,0.9865515668004279,4279.660696780256,2169.0,2169.0,4601.0,2,58.3393032197438
36041950400,331,1.0,2770.0,1385.0,1385.0,2526.0,1,0.0
36029007303,23,0.6915249828350027,16176.152398476384,11696.0,11696.000000000002,16963.0,39,7215.847601523615
36029007304,23,0.6567864022087327,8677.461945981779,6606.0,6606.000000000001,10230.0,39,4534.538054018223
36029007305,23,0.0,0.0,0.0,0.0,0.0,39,0.0
36029007700,23,0.6608112386639546,6471.985271474772,4897.0,4897.000000000002,7942.0,39,3322.014728525229
36029007800,23,0.6964130472577506,9510.216573351841,6828.0,6828.000000000001,11518.0,39,4145.78342664816
36029008300,23,0.526740161702411,2496.7483664694287,2370.0,2370.0,5191.0,39,2243.251633530572
36029017200,23,0.6597173513204379,3687.8199938812472,2795.0,2794.9999999999995,4497.0,39,1902.1800061187525
36063020100,23,0.7072588651556916,9362.692856931044,6619.0,6618.999999999999,8180.0,39,3875.3071430689547
36063020200,23,0.7228967804727904,5582.208938810887,3861.0,3860.999999999999,4485.0,39,2139.7910611891125
36063020300,23,0.572409715192119,3170.005002733955,2769.0,2768.9999999999995,3490.0,39,2367.9949972660447
36063020400,23,0.6130068422718828,3170.4713882301776,2586.0,2585.9999999999995,3207.0,39,2001.5286117698222
36063020500,23,0.6262363596703693,3817.53684855057,3048.0,3047.999999999999,3336.0,39,2278.463151449429
36063020600,23,0.6638060793323226,3174.320671367167,2391.0,2391.0,2673.0,39,1607.679328632833
36063020700,23,0.6343364840242101,6042.6893468146245,4763.0,4762.999999999999,5408.0,39,3483.3106531853746
36063020900,23,0.6746994288997668,6160.00578585487,4565.0,4564.999999999999,5447.0,39,2969.9942141451297
36063021000,23,0.6366229008871469,5314.527976605901,4174.0,4173.999999999999,4947.0,39,3033.472023394098
36063021100,23,0.7242166394030302,2242.1747155917815,1548.0,1548.0000000000002,2005.0,39,853.8252844082186
36063021200,23,0.7166035044775333,4581.962807629348,3197.0,3197.0000000000005,3797.0,39,1812.037192370652
36063021300,23,0.6830627991763554,4449.4710738347785,3257.0,3256.9999999999995,3792.0,39,2064.5289261652215
36063021400,23,0.6593566637553849,4665.607752733104,3538.0,3537.999999999999,4088.0,39,2410.392247266896
