origin,tile,cpc,cpc_numerator,observed_mass,predicted_mass,full_domain_observed_mass,destination_count,l1_error
36031961300,390,1.0,1912.0,956.0,956.0,1275.0,1,0.0
36055011203,94,0.8031674892876424,3098.6201736717244,1929.0,1929.0000000000002,4016.0,18,759.3798263282756
36055011205,94,0.9497692329070265,9533.783559920732,5019.0,5019.0,9098.0,18,504.2164400792678
36055011207,94,0.9058078989871984,9228.370874881577,5094.0,5094.0,10506.0,18,959.6291251184226
36055011209,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36055011210,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36055011302,94,0.8329551762304349,11671.367929340853,7006.0,7005.999999999999,13886.0,18,2340.632070659146
36055011303,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36055011304,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36055011401,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36055011402,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36055011403,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36055011503,94,0.9504315180258813,11211.290186633296,5898.0,5897.999999999999,12636.0,18,584.709813366704
36055011504,94,0.9773173190556407,11669.16878952435,5970.0,5970.0,13011.0,18,270.83121047565015
36055011506,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36055011507,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36117020103,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36117020105,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36117020202,94,0.9676360887965576,8803.553135871081,4549.0,4549.000000000001,10869.0,18,294.4468641289185
36039080403,352,0.0,0.0,0.0,0.0,0.0,4,0.0
36039080501,352,0.8690556173977027,4824.996787792045,2776.0,2776.0,5246.0,4,727.0032122079547
36039080502,352,0.9700690194446044,7552.95738539569,3893.0,3893.0,6528.0,4,233.04261460431016
36039081101,352,0.909831826370459,7846.389670618838,4312.0,4312.0,8602.0,4,777.610329381162
36097950100,119,0.9720273139583768,9428.664945396256,4850.0,4850.000000000001,9530.0,2,271.3350546037446
36109001700,119,0.9899575208985414,8198.828188081721,4141.0,4141.000000000001,8586.0,2,83.17181191827981
36049950301,216,0.0,0.0,0.0,0.0,0.0,1,0.0
36069051302,101,0.0,0.0,0.0,0.0,0.0,3,0.0
36123150200,101,0.9998859132533884,10744.774023820912,5373.0,5373.0,10368.0,3,1.2259761790879367
36123150301,101,0.0,0.0,0.0,0.0,0.0,3,0.0
36095740500,300,0.9787558905957809,6864.993816638807,3507.0,3507.0,6559.0,2,149.0061833611925
36095740600,300,0.9937722619392608,4310.984072292513,2169.0,2168.9999999999995,4601.0,2,27.015927707486576
36041950400,331,1.0,2770.0,1385.0,1385.0,2526.0,1,0.0
36029007303,23,0.719407462745214,16828.37936853605,11696.0,11695.999999999998,16963.0,39,6563.620631463952
36029007304,23,0.7333773427313994,9689.38145216725,6606.0,6606.000000000001,10230.0,39,3522.6185478327507
36029007305,23,0.0,0.0,0.0,0.0,0.0,39,0.0
36029007700,23,0.5530223555189275,5416.300949952376,4897.0,4897.0,7942.0,39,4377.699050047624
36029007800,23,0.8037643076449784,10976.205385199823,6828.0,6828.0,11518.0,39,2679.7946148001747
36029008300,23,0.45491444277432824,2156.294458750316,2370.0,2370.0000000000005,5191.0,39,2583.7055412496843
36029017200,23,0.6001383643866167,3354.773456921187,2795.0,2794.9999999999995,4497.0,39,2235.2265430788125
36063020100,23,0.6391561696045409,8461.149373224911,6619.0,6619.0,8180.0,39,4776.850626775088
36063020200,23,0.6902612407281563,5330.197300902824,3861.0,3861.000000000001,4485.0,39,2391.802699097177
36063020300,23,0.5812363593284231,3218.8869579608063,2769.0,2769.0,3490.0,39,2319.1130420391933
36063020400,23,0.5857754993789117,3029.6308827877315,2586.0,2586.0,3207.0,39,2142.3691172122685
36063020500,23,0.7062908210083111,4305.548844866664,3048.0,3048.0000000000005,3336.0,39,1790.4511551333355
36063020600,23,0.6044645608110215,2890.5495297983043,2391.0,2391.0000000000005,2673.0,39,1891.4504702016952
36063020700,23,0.6710186506950451,6392.123666521,4763.0,4763.0,5408.0,39,3133.8763334790006
36063020900,23,0.6551066736043099,5981.123930007347,4565.0,4565.000000000001,5447.0,39,3148.8760699926515
36063021000,23,0.6200294455822319,5176.0058117204735,4174.0,4174.000000000001,4947.0,39,3171.9941882795274
36063021100,23,0.8239661435110252,2550.999180310134,1548.0,1548.0,2005.0,39,545.0008196898663
36063021200,23,0.7354806090458934,4702.663014239442,3197.0,3197.000000000001,3797.0,39,1691.3369857605574
36063021300,23,0.6843328953024584,4457.744480000216,3257.0,3257.0000000000005,3792.0,39,2056.2555199997855
36063021400,23,0.729889876583405,5164.700766704173,3538.0,3537.999999999999,4088.0,39,1911.2992332958263
36063021700,23,0.7819332891791351,7334.534252500285,4690.0,4689.999999999999,5678.0,39,2045.4657474997136
36063022000,23,0.7137091593396359,7084.277115605225,4963.0,4963.000000000001,5989.0,39,2841.722884394774
36063022100,23,0.692937603467455,5349.478298768753,3860.0,3860.0,5180.0,39,2370.521701231247
36063022200,23,0.6461525397458154,8266.87559350796,6397.0,6396.999999999999,7951.0,39,4527.124406492038
36063022300,23,0.6820142486537648,6364.556968436935,4666.0,4665.999999999999,5707.0,39,2967.443031563066
36063022401,23,0.5219184081607324,3177.4392688825383,3044.0,3044.0,3827.0,39,2910.560731117461
36063022500,23,0.6411519887905636,5990.924183259025,4672.0,4672.0,6267.0,39,3353.075816740974
36063022601,23,0.6624272543579646,3953.365854008333,2984.0,2984.0,3965.0,39,2014.634145991667
36063022602,23,0.6686782276941479,10795.141307894322,8072.0,8072.0,10969.0,39,5348.858692105678
36063022713,23,0.0,0.0,0.0,0.0,0.0,39,0.0
36063022714,23,0.0,0.0,0.0,0.0,0.0,39,0.0
36063022715,23,0.0,0.0,0.0,0.0,0.0,39,0.0
36063022901,23,0.5937588277970567,2893.980526682855,2437.0,2437.0000000000005,3969.0,39,1980.0194733171454
36063022902,23,0.6744241649448707,5702.930738773827,4228.0,4228.0,6376.0,39,2753.0692612261737
36063023001,23,0.5865622808408499,3825.559195644024,3261.0,3261.0000000000005,4859.0,39,2696.4408043559765
36063023100,23,0.555594624780477,3166.8893612487195,2850.0,2850.0,4771.0,39,2533.110638751281
36063023200,23,0.579360358017653,3507.4476074388713,3027.0,3027.0,4829.0,39,2546.5523925611287
36063024406,23,0.622952830984156,5145.590383929128,4130.0,4129.999999999999,5572.0,39,3114.4096160708714
36063024600,23,0.6394090995862414,7276.475553291426,5690.0,5690.0,9897.0,39,4103.524446708574
36075020101,165,0.0,0.0,0.0,0.0,0.0,6,0.0
36075020201,165,0.0,0.0,0.0,0.0,0.0,6,0.0
36075020202,165,0.0,0.0,0.0,0.0,0.0,6,0.0
36075020301,165,0.9994388450337692,3681.9327051044056,1842.0,1841.9999999999998,3475.0,6,2.0672948955941517
36075020304,165,0.0,0.0,0.0,0.0,0.0,6,0.0
36075020501,165,0.0,0.0,0.0,0.0,0.0,6,0.0
36007012900,156,0.7280440526474186,3092.7311356462346,2124.0,2124.000000000001,2982.0,23,1155.268864353766
36007013000,156,0.8477666457597327,13057.301877991405,7701.0,7701.000000000001,9255.0,23,2344.698122008597
36007013100,156,0.790749362875834,6335.48389536118,4006.0,4005.9999999999995,4618.0,23,1676.5161046388187
36007013201,156,0.6816787450452304,4953.077761498645,3633.0,3633.0000000000005,4418.0,23,2312.9222385013554
36007013202,156,0.7440004049251044,8765.81277082758,5891.0,5890.999999999998,7039.0,23,3016.187229172419
36007013301,156,0.8354106520620757,11719.140627126799,7014.0,7014.000000000002,8816.0,23,2308.859372873203
36007013303,156,0.7597361079208729,4414.066787020272,2905.0,2905.0000000000005,3774.0,23,1395.9332129797283
36007013304,156,0.787777648812921,15350.635264768578,9743.0,9743.000000000004,11868.0,23,4135.364735231423
36007013400,156,0.8089792859338044,10280.508765646786,6354.0,6354.000000000001,7884.0,23,2427.4912343532137
36007013500,156,0.6924258769076146,3100.683076792299,2239.0,2239.0,2943.0,23,1377.3169232077016
36007013600,156,0.8583422776510359,9149.928679760043,5330.0,5330.000000000001,6516.0,23,1510.071320239958
36007013700,156,0.7882971929734803,7975.990998505675,5059.0,5059.000000000001,6408.0,23,2142.0090014943266
36007013800,156,0.6933936869178001,5875.818102941438,4237.0,4237.000000000001,5946.0,23,2598.1818970585623
36007013900,156,0.8013497939905551,5000.422714501064,3120.0,3120.0,4080.0,23,1239.5772854989366
36007014000,156,0.6667251812014603,5388.472914470201,4041.0,4040.999999999999,5230.0,23,2693.5270855297977
36007014100,156,0.7251111513660061,7633.970201581311,5264.0,5263.999999999999,7123.0,23,2894.0297984186877
36007014200,156,0.7189147218005539,5187.688632512797,3608.0,3607.9999999999995,4739.0,23,2028.3113674872027
36007014301,156,0.7311353277863226,9751.88300201397,6669.0,6669.0,9050.0,23,3586.1169979860297
36007014302,156,0.8794175796560303,20117.55655221135,11438.0,11437.999999999998,14228.0,23,2758.4434477886502
36007014400,156,0.7645604110528194,11925.613291601878,7799.0,7799.0,9855.0,23,3672.3867083981236
36007014500,156,0.7129493476890201,8357.192253610696,5861.0,5861.000000000001,7164.0,23,3364.807746389306
36007014600,156,0.7669572177902481,14653.484603100482,9553.0,9553.000000000002,11313.0,23,4452.51539689952
36107020402,156,0.7492426773219293,8409.499810261335,5612.0,5612.0,7208.0,23,2814.5001897386655
36089491300,221,0.9525777794187824,7475.830412878605,3924.0,3924.0000000000005,6707.0,2,372.1695871213956
36089491700,221,0.9872843243990874,7892.350889246305,3997.0,3997.0000000000005,6740.0,2,101.64911075369551
36113073000,388,0.9997821730554366,8528.141936162874,4265.0,4265.0,7000.0,2,1.8580638371262492
36113075001,388,0.0,0.0,0.0,0.0,0.0,2,0.0
36025970101,275,0.0,0.0,0.0,0.0,0.0,1,0.0
36031961400,362,1.0,1414.0,707.0,707.0,1026.0,1,0.0
36049950601,214,0.0,0.0,0.0,0.0,0.0,1,0.0
