origin,tile,cpc,cpc_numerator,observed_mass,predicted_mass,full_domain_observed_mass,destination_count,l1_error
36031961300,390,1.0,1912.0,956.0,956.0,1275.0,1,0.0
36055011203,94,0.8818445902358742,3402.156429130003,1929.0,1928.9999999999995,4016.0,18,455.8435708699971
36055011205,94,0.9698806411286853,9735.661875649743,5019.0,5019.0,9098.0,18,302.33812435025686
36055011207,94,0.9415512614083387,9592.524251228155,5094.0,5094.0,10506.0,18,595.4757487718456
36055011209,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36055011210,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36055011302,94,0.8298412695261304,11627.735868600139,7006.0,7006.0,13886.0,18,2384.2641313998615
36055011303,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36055011304,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36055011401,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36055011402,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36055011403,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36055011503,94,0.9590169477808932,11312.563916023417,5898.0,5897.999999999998,12636.0,18,483.4360839765835
36055011504,94,0.9730081858011559,11617.7177384658,5970.0,5969.999999999999,13011.0,18,322.28226153419894
36055011506,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36055011507,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36117020103,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36117020105,94,0.0,0.0,0.0,0.0,0.0,18,0.0
36117020202,94,0.9718826847889703,8842.188666210053,4549.0,4549.000000000001,10869.0,18,255.81133378994775
36039080403,352,0.0,0.0,0.0,0.0,0.0,4,0.0
36039080501,352,0.8580256538189646,4763.75843000289,2776.0,2775.9999999999995,5246.0,4,788.241569997109
36039080502,352,0.9676871192552958,7534.411910521732,3893.0,3892.999999999999,6528.0,4,251.58808947826685
36039081101,352,0.9032063750457648,7789.251778394676,4312.0,4312.0,8602.0,4,834.7482216053241
36097950100,119,0.975168575390039,9459.135181283378,4850.0,4850.0,9530.0,2,240.86481871662215
36109001700,119,0.9937033741470216,8229.851344685634,4141.0,4141.000000000001,8586.0,2,52.14865531436685
36049950301,216,0.0,0.0,0.0,0.0,0.0,1,0.0
36069051302,101,0.0,0.0,0.0,0.0,0.0,3,0.0
36123150200,101,0.9998826163621501,10744.738595427665,5373.0,5372.999999999999,10368.0,3,1.261404572334118
36123150301,101,0.0,0.0,0.0,0.0,0.0,3,0.0
36095740500,300,0.9836290412614357,6899.1740954077095,3507.0,3506.9999999999995,6559.0,2,114.82590459229019
36095740600,300,0.9900433726350213,4294.808150490722,2169.0,2169.0,4601.0,2,43.19184950927784
36041950400,331,1.0,2770.0,1385.0,1385.0,2526.0,1,0.0
36029007303,23,0.7773052797407718,18182.72510369613,11696.0,11695.999999999998,16963.0,39,5209.274896303867
36029007304,23,0.7411421202267893,9791.96969243634,6606.0,6606.000000000002,10230.0,39,3420.0303075636607
36029007305,23,0.0,0.0,0.0,0.0,0.0,39,0.0
36029007700,23,0.6346577943843368,6215.838438200195,4897.0,4897.000000000001,7942.0,39,3578.1615617998054
36029007800,23,0.8463935402413204,11558.350185535473,6828.0,6828.000000000002,11518.0,39,2097.649814464529
36029008300,23,0.5173603809639815,2452.2882057692723,2370.0,2370.0,5191.0,39,2287.7117942307277
36029017200,23,0.6166951397056093,3447.3258309543558,2795.0,2794.9999999999995,4497.0,39,2142.6741690456442
36063020100,23,0.7694543548945263,10186.03675009374,6619.0,6619.000000000001,8180.0,39,3051.963249906262
36063020200,23,0.7834812410453571,6050.042143352248,3861.0,3861.000000000002,4485.0,39,1671.957856647753
36063020300,23,0.5954990246927484,3297.8735987484415,2769.0,2769.0000000000005,3490.0,39,2240.1264012515594
36063020400,23,0.6470221594998775,3346.398608933366,2586.0,2585.9999999999995,3207.0,39,1825.6013910666331
36063020500,23,0.7578473600295356,4619.8375067400475,3048.0,3048.0,3336.0,39,1476.1624932599514
36063020600,23,0.7089433309068955,3390.1670083967747,2391.0,2391.0000000000005,2673.0,39,1391.8329916032258
36063020700,23,0.7249334893457391,6905.716419507508,4763.0,4763.0,5408.0,39,2620.28358049249
36063020900,23,0.7546853413125023,6890.277166183145,4565.0,4565.000000000003,5447.0,39,2239.7228338168547
36063021000,23,0.6488742154363808,5416.8019504629065,4174.0,4174.000000000001,4947.0,39,2931.198049537093
36063021100,23,0.8002541721450797,2477.5869169611665,1548.0,1548.0,2005.0,39,618.4130830388333
36063021200,23,0.758507460015627,4849.896699339919,3197.0,3197.0000000000005,3797.0,39,1544.1033006600808
36063021300,23,0.7271755220555519,4736.821350669866,3257.0,3257.0,3792.0,39,1777.178649330135
