zone_id,origin_trip_count,origin_expanded_mass,destination_trip_count,destination_expanded_mass
498,20079,31480.4674,9823,15154.022500000005
383,21018,31405.030800000008,20690,31191.751099999994
139,19109,31249.8985,16530,24474.3554
39,20490,31214.903299999998,16375,23925.1308
754,22323,31181.257599999997,24708,34327.6341
12,20651,31076.781799999997,20724,30749.652400000003
744,19838,30914.771399999998,9765,14370.0501
795,19862,30886.484900000003,18118,27725.626099999998
747,20755,30858.6402,16372,23870.325199999996
155,19563,30835.9967,13470,20489.589000000004
101,19157,30681.7528,20732,30567.7914
113,21304,30349.0107,9022,13614.6686
241,21494,29908.980099999997,36353,50989.47279999999
406,19548,29862.0892,11715,17285.5668
354,20541,29836.859899999992,14239,21079.2734
669,16207,29823.8129,15728,24766.737799999995
320,19287,29678.066799999993,12418,18064.1051
418,19036,29454.6459,16829,24633.687400000003
16,19057,29413.831100000003,14490,21867.298
237,21688,29392.628299999997,21350,29916.502
381,20213,29268.592299999997,38257,56780.21190000001
105,18723,29221.688799999996,20122,29147.840000000004
668,18236,29101.463699999997,19716,30170.2277
729,17210,29026.839499999995,18279,26280.114599999997
666,19285,28978.174699999996,4376,6716.713100000001
326,18866,28822.7973,10478,15419.306400000001
163,19216,28811.504099999995,22346,33112.2972
710,19443,28713.362699999998,22391,31971.8172
349,20103,28650.1782,11510,16854.9096
125,18555,28470.887900000005,14730,21770.0441
735,19557,28447.567799999997,3552,5310.308800000001
628,17896,28196.0551,60244,88702.2861
681,13988,28149.9306,16462,26698.734500000006
97,19016,28130.137699999996,11182,16652.1879
651,18769,28040.8068,23696,34027.940599999994
838,19471,27861.028600000005,24065,35653.4176
17,19133,27784.477,13406,19804.467200000003
92,18376,27294.623300000003,19739,28565.2916
844,18401,27251.8512,30562,44535.741
711,18597,27236.4921,31636,45587.4715
313,17821,27190.346200000004,12128,17642.1457
783,17798,27190.2365,7032,10434.036100000001
660,18317,27167.530900000005,17623,25867.1338
554,16994,27060.4879,26948,40509.713
834,15747,26937.4073,7502,11111.863000000001
387,17870,26811.889300000003,14903,22129.5397
46,16882,26796.8363,11665,16657.8431
50,17248,26795.9351,13076,19168.44
384,18461,26721.0163,6728,10083.238299999999
745,17596,26637.687799999996,32056,45790.965399999994
799,16139,26464.726899999998,11701,17687.2876
89,18276,26352.898200000003,19213,28469.1991
252,18103,26186.741499999996,15767,22104.427900000002
551,17905,26163.097499999996,11403,16582.2408
333,15622,26006.567900000002,17129,25332.572599999996
264,17609,25953.736999999997,29424,42779.397
752,14158,25727.517,13573,20267.095699999998
388,16585,25469.1375,19778,29251.0067
348,15863,25466.194799999997,16674,24102.8585
377,16098,25462.757500000003,14684,21505.964500000002
424,15003,25199.2428,17062,25815.3285
536,15527,25058.9994,40339,58025.6967
340,15866,24906.226300000002,11335,17329.5688
537,16756,24553.5248,6427,9032.5733
753,17206,24546.8155,20770,28850.5309
633,15712,24523.853700000003,10040,14852.9457
718,13955,24497.110399999998,5774,9164.6001
689,17825,24340.6045,14852,21495.799700000003
712,15700,24305.145599999996,15061,21917.7353
91,16066,24213.5185,15889,23199.692499999997
786,13159,24149.63,5956,8959.645
243,16508,23998.831,12376,17766.3329
766,13350,23990.4895,86102,120291.24919999999
124,17710,23630.4066,11368,16296.017
775,16607,23434.8586,20734,28968.216100000005
542,15619,23391.0688,10283,14096.0553
148,17006,23244.0091,15891,23048.5738
713,16183,23210.6749,12505,18275.1364
562,13596,23210.5335,24899,40125.6147
650,14681,23199.9199,9856,14393.8315
18,16243,23179.319499999998,14796,21795.7144
737,15111,23056.205,28564,42164.8047
431,14335,22944.295000000002,13751,21308.824299999993
429,14201,22835.475100000003,17359,26978.923300000002
673,13049,22507.6536,12369,18788.414699999998
552,11800,22345.942400000004,9776,14826.068700000002
836,12887,22340.2005,6093,9479.051
394,14230,22236.554,10139,15659.3365
200,15299,22125.852999999996,19781,27260.3045
507,14131,22068.7497,10008,15251.897599999997
107,15580,22045.6812,9789,14215.074900000001
796,15265,22032.5249,8743,13012.310099999999
833,14150,21830.7265,14378,20797.7952
634,13497,21827.829400000002,12768,18793.3335
344,12755,21798.6222,18275,27062.4976
196,14994,21763.620099999996,60917,84991.46919999999
314,14391,21736.906,12508,18196.462300000003
312,13738,21617.4277,16049,23477.928799999998
720,13931,21488.755,18614,27338.996000000003
453,14964,21456.7225,17379,25275.6555
360,14596,21325.1268,18755,27594.133600000012
