CUT_REG,CUT_PROV,CUT_COM,REGION,PROVINCIA,COMUNA,SUPERFICIE,canonical_name,area_km2_geometry,origin_trip_count,origin_expanded_mass,destination_trip_count,destination_expanded_mass,endpoint_expanded_mass_per_km2
13,133,13301,Metropolitana de Santiago,Chacabuco,Colina,971.09,colina,970.8588272963999,29.0,56.81239999999999,515.0,728.796,0.8091891198926664
13,135,13504,Metropolitana de Santiago,Melipilla,María Pinto,394.2,mariapinto,394.29993604322533,0.0,0.0,0.0,0.0,0.0
13,134,13402,Metropolitana de Santiago,Maipo,Buin,217.06,buin,217.0287881127664,0.0,0.0,0.0,0.0,0.0
13,135,13502,Metropolitana de Santiago,Melipilla,Alhué,844.33,alhue,844.4039298515453,0.0,0.0,0.0,0.0,0.0
13,132,13203,Metropolitana de Santiago,Cordillera,San José de Maipo,4984.74,sanjosedemaipo,4982.050457274525,0.0,0.0,0.0,0.0,0.0
13,132,13202,Metropolitana de Santiago,Cordillera,Pirque,444.85,pirque,444.70466531242306,0.0,0.0,0.0,0.0,0.0
13,136,13602,Metropolitana de Santiago,Talagante,El Monte,115.96,elmonte,115.97328561806401,0.0,0.0,0.0,0.0,0.0
13,136,13605,Metropolitana de Santiago,Talagante,Peñaflor,69.49,penaflor,69.48800248347152,0.0,0.0,0.0,0.0,0.0
13,133,13303,Metropolitana de Santiago,Chacabuco,Tiltil,654.68,tiltil,654.6518509370624,0.0,0.0,0.0,0.0,0.0
13,136,13601,Metropolitana de Santiago,Talagante,Talagante,125.23,talagante,125.22482326192085,0.0,0.0,0.0,0.0,0.0
13,135,13503,Metropolitana de Santiago,Melipilla,Curacaví,694.01,curacavi,694.1004187485808,0.0,0.0,0.0,0.0,0.0
13,136,13603,Metropolitana de Santiago,Talagante,Isla de Maipo,189.62,islademaipo,189.61838443999477,0.0,0.0,0.0,0.0,0.0
13,134,13404,Metropolitana de Santiago,Maipo,Paine,677.62,paine,677.5224982618129,0.0,0.0,0.0,0.0,0.0
13,135,13505,Metropolitana de Santiago,Melipilla,San Pedro,786.54,sanpedro,786.9058501454805,0.0,0.0,0.0,0.0,0.0
13,135,13501,Metropolitana de Santiago,Melipilla,Melipilla,1352.35,melipilla,1352.6531362088012,0.0,0.0,0.0,0.0,0.0
