service_date,day_type,exclusion_reason,trip_count
2024-11-20,laboral,n_etapas_mismatch,7640
2024-11-20,laboral,missing_origin_zone,624
2024-11-20,laboral,trip_without_final_bajada_flag,30
2024-11-20,laboral,missing_destination_zone,974900
2024-11-20,laboral,invalid_origin_coordinate,462
2024-11-21,laboral,missing_destination_zone,965987
2024-11-21,laboral,invalid_origin_coordinate,462
2024-11-21,laboral,missing_origin_zone,674
2024-11-21,laboral,trip_without_final_bajada_flag,23
2024-11-21,laboral,primary_eligible,2613563
2024-11-21,laboral,n_etapas_mismatch,7246
2024-11-22,laboral,missing_origin_zone,666
2024-11-22,laboral,trip_without_final_bajada_flag,25
2024-11-22,laboral,missing_destination_zone,1029225
2024-11-22,laboral,invalid_origin_coordinate,629
2024-11-22,laboral,primary_eligible,2486458
2024-11-22,laboral,n_etapas_mismatch,7471
2024-11-23,sabado,primary_eligible,1236153
2024-11-23,sabado,n_etapas_mismatch,4923
2024-11-23,sabado,missing_destination_zone,721011
2024-11-23,sabado,invalid_origin_coordinate,346
2024-11-23,sabado,missing_origin_zone,399
2024-11-23,sabado,trip_without_final_bajada_flag,9
2024-11-24,domingo,primary_eligible,937144
2024-11-24,domingo,n_etapas_mismatch,11621
2024-11-24,domingo,missing_origin_zone,234
2024-11-24,domingo,trip_without_final_bajada_flag,72
2024-11-24,domingo,missing_destination_zone,611581
2024-11-24,domingo,invalid_origin_coordinate,212
2024-11-25,laboral,missing_destination_zone,968937
2024-11-25,laboral,invalid_origin_coordinate,491
2024-11-25,laboral,primary_eligible,2527964
2024-11-25,laboral,n_etapas_mismatch,6616
2024-11-25,laboral,missing_origin_zone,639
2024-11-25,laboral,trip_without_final_bajada_flag,36
2024-11-26,laboral,missing_origin_zone,739
2024-11-26,laboral,trip_without_final_bajada_flag,28
2024-11-26,laboral,missing_destination_zone,947195
2024-11-26,laboral,invalid_origin_coordinate,701
2024-11-26,laboral,primary_eligible,2622121
2024-11-26,laboral,n_etapas_mismatch,7700
2024-11-27,laboral,missing_origin_zone,684
2024-11-27,laboral,trip_without_final_bajada_flag,36
2024-11-27,laboral,primary_eligible,2635947
2024-11-27,laboral,n_etapas_mismatch,7683
2024-11-27,laboral,missing_destination_zone,973668
2024-11-27,laboral,invalid_origin_coordinate,581
2024-11-28,laboral,missing_destination_zone,997228
2024-11-28,laboral,invalid_origin_coordinate,785
2024-11-28,laboral,missing_origin_zone,668
2024-11-28,laboral,trip_without_final_bajada_flag,38
2024-11-28,laboral,primary_eligible,2596595
2024-11-28,laboral,n_etapas_mismatch,7206
2024-11-29,laboral,missing_destination_zone,1079754
2024-11-29,laboral,invalid_origin_coordinate,492
2024-11-29,laboral,missing_origin_zone,769
2024-11-29,laboral,trip_without_final_bajada_flag,37
2024-11-29,laboral,primary_eligible,2531848
2024-11-29,laboral,n_etapas_mismatch,7719
