service_date,day_class,table,field,unique_nonempty_values,both_present,valid_epsg_32719_broad,invalid_or_outside_broad_range
2024-11-10,domingo,viajes,comuna_fin_viaje,37,,,
2024-11-10,domingo,viajes,zona_inicio_viaje,799,,,
2024-11-10,domingo,viajes,zona_fin_viaje,798,,,
2024-11-10,domingo,etapas,comuna_subida,36,,,
2024-11-10,domingo,etapas,comuna_bajada,36,,,
2024-11-10,domingo,etapas,zona_subida,799,,,
2024-11-10,domingo,etapas,zona_bajada,798,,,
2024-11-10,domingo,etapas,coordinates_subida,,1500391,1500098,293
2024-11-10,domingo,etapas,coordinates_bajada,,968444,968444,0
2024-11-11,laboral,viajes,comuna_inicio_viaje,37,,,
2024-11-11,laboral,viajes,comuna_fin_viaje,37,,,
2024-11-11,laboral,viajes,zona_inicio_viaje,799,,,
2024-11-11,laboral,viajes,zona_fin_viaje,798,,,
2024-11-11,laboral,etapas,comuna_subida,36,,,
2024-11-11,laboral,etapas,comuna_bajada,36,,,
2024-11-11,laboral,etapas,zona_subida,799,,,
2024-11-11,laboral,etapas,zona_bajada,798,,,
2024-11-11,laboral,etapas,coordinates_subida,,4704552,4703739,813
2024-11-11,laboral,etapas,coordinates_bajada,,3613606,3613606,0
2024-11-12,laboral,viajes,comuna_inicio_viaje,37,,,
2024-11-12,laboral,viajes,comuna_fin_viaje,37,,,
2024-11-12,laboral,viajes,zona_inicio_viaje,799,,,
2024-11-12,laboral,viajes,zona_fin_viaje,799,,,
2024-11-12,laboral,etapas,comuna_subida,36,,,
2024-11-12,laboral,etapas,comuna_bajada,36,,,
2024-11-12,laboral,etapas,zona_subida,799,,,
2024-11-12,laboral,etapas,zona_bajada,799,,,
2024-11-12,laboral,etapas,coordinates_subida,,4712293,4709633,2660
2024-11-12,laboral,etapas,coordinates_bajada,,3623645,3623645,0
2024-11-13,laboral,viajes,comuna_inicio_viaje,37,,,
2024-11-13,laboral,viajes,comuna_fin_viaje,37,,,
2024-11-13,laboral,viajes,zona_inicio_viaje,799,,,
2024-11-13,laboral,viajes,zona_fin_viaje,799,,,
2024-11-13,laboral,etapas,comuna_subida,36,,,
2024-11-13,laboral,etapas,comuna_bajada,36,,,
2024-11-13,laboral,etapas,zona_subida,799,,,
2024-11-13,laboral,etapas,zona_bajada,799,,,
2024-11-13,laboral,etapas,coordinates_subida,,4814084,4813246,838
2024-11-13,laboral,etapas,coordinates_bajada,,3761140,3761140,0
2024-11-14,laboral,viajes,comuna_inicio_viaje,37,,,
2024-11-14,laboral,viajes,comuna_fin_viaje,37,,,
2024-11-14,laboral,viajes,zona_inicio_viaje,798,,,
2024-11-14,laboral,viajes,zona_fin_viaje,798,,,
2024-11-14,laboral,etapas,comuna_subida,36,,,
2024-11-14,laboral,etapas,comuna_bajada,36,,,
2024-11-14,laboral,etapas,zona_subida,798,,,
2024-11-14,laboral,etapas,zona_bajada,798,,,
2024-11-14,laboral,etapas,coordinates_subida,,4887839,4886267,1572
2024-11-14,laboral,etapas,coordinates_bajada,,3825507,3825507,0
2024-11-15,laboral,viajes,comuna_inicio_viaje,37,,,
2024-11-15,laboral,viajes,comuna_fin_viaje,37,,,
2024-11-15,laboral,viajes,zona_inicio_viaje,798,,,
2024-11-15,laboral,viajes,zona_fin_viaje,799,,,
2024-11-15,laboral,etapas,comuna_subida,36,,,
2024-11-15,laboral,etapas,comuna_bajada,36,,,
2024-11-15,laboral,etapas,zona_subida,798,,,
2024-11-15,laboral,etapas,zona_bajada,799,,,
2024-11-15,laboral,etapas,coordinates_subida,,4832617,4831465,1152
2024-11-15,laboral,etapas,coordinates_bajada,,3677554,3677554,0
2024-11-16,sabado,viajes,comuna_inicio_viaje,37,,,
2024-11-16,sabado,viajes,comuna_fin_viaje,37,,,
2024-11-16,sabado,viajes,zona_inicio_viaje,798,,,
2024-11-16,sabado,viajes,zona_fin_viaje,799,,,
2024-11-16,sabado,etapas,comuna_subida,36,,,
2024-11-16,sabado,etapas,comuna_bajada,36,,,
2024-11-16,sabado,etapas,zona_subida,798,,,
2024-11-16,sabado,etapas,zona_bajada,799,,,
2024-11-16,sabado,etapas,coordinates_subida,,2661105,2660805,300
2024-11-16,sabado,etapas,coordinates_bajada,,1857072,1857072,0
2024-11-17,domingo,viajes,comuna_inicio_viaje,37,,,
2024-11-17,domingo,viajes,comuna_fin_viaje,37,,,
2024-11-17,domingo,viajes,zona_inicio_viaje,798,,,
2024-11-17,domingo,viajes,zona_fin_viaje,798,,,
2024-11-17,domingo,etapas,comuna_subida,36,,,
2024-11-17,domingo,etapas,comuna_bajada,36,,,
2024-11-17,domingo,etapas,zona_subida,798,,,
2024-11-17,domingo,etapas,zona_bajada,798,,,
2024-11-17,domingo,etapas,coordinates_subida,,1534904,1534323,581
2024-11-17,domingo,etapas,coordinates_bajada,,1005692,1005692,0
2024-11-18,laboral,viajes,comuna_inicio_viaje,37,,,
2024-11-18,laboral,viajes,comuna_fin_viaje,37,,,
2024-11-18,laboral,viajes,zona_inicio_viaje,797,,,
2024-11-18,laboral,viajes,zona_fin_viaje,798,,,
2024-11-18,laboral,etapas,comuna_subida,36,,,
2024-11-18,laboral,etapas,comuna_bajada,36,,,
2024-11-18,laboral,etapas,zona_subida,797,,,
2024-11-18,laboral,etapas,zona_bajada,798,,,
2024-11-18,laboral,etapas,coordinates_subida,,4787836,4786636,1200
2024-11-18,laboral,etapas,coordinates_bajada,,3719530,3719530,0
2024-11-19,laboral,viajes,comuna_inicio_viaje,37,,,
2024-11-19,laboral,viajes,comuna_fin_viaje,37,,,
2024-11-19,laboral,viajes,zona_inicio_viaje,798,,,
2024-11-19,laboral,viajes,zona_fin_viaje,799,,,
2024-11-19,laboral,etapas,comuna_subida,36,,,
2024-11-19,laboral,etapas,comuna_bajada,36,,,
2024-11-19,laboral,etapas,zona_subida,798,,,
2024-11-19,laboral,etapas,zona_bajada,799,,,
2024-11-19,laboral,etapas,coordinates_subida,,4861726,4861023,703
2024-11-19,laboral,etapas,coordinates_bajada,,3811569,3811569,0
2024-11-20,laboral,viajes,comuna_inicio_viaje,37,,,
2024-11-20,laboral,viajes,comuna_fin_viaje,37,,,
2024-11-20,laboral,viajes,zona_inicio_viaje,798,,,
2024-11-20,laboral,viajes,zona_fin_viaje,799,,,
2024-11-20,laboral,etapas,comuna_subida,36,,,
2024-11-20,laboral,etapas,comuna_bajada,36,,,
2024-11-20,laboral,etapas,zona_subida,798,,,
2024-11-20,laboral,etapas,zona_bajada,799,,,
2024-11-20,laboral,etapas,coordinates_subida,,4897118,4896375,743
2024-11-20,laboral,etapas,coordinates_bajada,,3835760,3835760,0
2024-11-21,laboral,viajes,comuna_inicio_viaje,37,,,
2024-11-21,laboral,viajes,comuna_fin_viaje,37,,,
2024-11-21,laboral,viajes,zona_inicio_viaje,799,,,
2024-11-21,laboral,viajes,zona_fin_viaje,799,,,
2024-11-21,laboral,etapas,comuna_subida,36,,,
2024-11-21,laboral,etapas,comuna_bajada,36,,,
2024-11-21,laboral,etapas,zona_subida,799,,,
2024-11-21,laboral,etapas,zona_bajada,799,,,
2024-11-21,laboral,etapas,coordinates_subida,,4830969,4830137,832
2024-11-21,laboral,etapas,coordinates_bajada,,3780838,3780838,0
2024-11-22,laboral,viajes,comuna_inicio_viaje,37,,,
2024-11-22,laboral,viajes,comuna_fin_viaje,37,,,
2024-11-22,laboral,viajes,zona_inicio_viaje,798,,,
2024-11-22,laboral,viajes,zona_fin_viaje,799,,,
2024-11-22,laboral,etapas,comuna_subida,36,,,
2024-11-22,laboral,etapas,comuna_bajada,36,,,
2024-11-22,laboral,etapas,zona_subida,798,,,
2024-11-22,laboral,etapas,zona_bajada,799,,,
2024-11-22,laboral,etapas,coordinates_subida,,4722466,4721312,1154
2024-11-22,laboral,etapas,coordinates_bajada,,3609616,3609616,0
2024-11-23,sabado,viajes,comuna_inicio_viaje,37,,,
2024-11-23,sabado,viajes,comuna_fin_viaje,37,,,
2024-11-23,sabado,viajes,zona_inicio_viaje,799,,,
2024-11-23,sabado,viajes,zona_fin_viaje,799,,,
2024-11-23,sabado,etapas,comuna_subida,36,,,
2024-11-23,sabado,etapas,comuna_bajada,36,,,
2024-11-23,sabado,etapas,zona_subida,799,,,
2024-11-23,sabado,etapas,zona_bajada,799,,,
2024-11-23,sabado,etapas,coordinates_subida,,2563888,2563344,544
2024-11-23,sabado,etapas,coordinates_bajada,,1798456,1798456,0
2024-11-24,domingo,viajes,comuna_inicio_viaje,37,,,
2024-11-24,domingo,viajes,comuna_fin_viaje,37,,,
2024-11-24,domingo,viajes,zona_inicio_viaje,798,,,
2024-11-24,domingo,viajes,zona_fin_viaje,799,,,
2024-11-24,domingo,etapas,comuna_subida,36,,,
2024-11-24,domingo,etapas,comuna_bajada,36,,,
2024-11-24,domingo,etapas,zona_subida,798,,,
2024-11-24,domingo,etapas,zona_bajada,799,,,
2024-11-24,domingo,etapas,coordinates_subida,,2015003,2014600,403
2024-11-24,domingo,etapas,coordinates_bajada,,1356754,1356754,0
