tile,cpc
10,0.456126972381369
101,0.5181700623066078
103,0.5380609335851146
104,0.5251733268155276
107,0.5392978299119338
110,0.0
111,0.0
113,0.5041470728222937
114,0.5252091232679111
117,0.5577829052119936
118,0.5094414759024344
119,0.48651725447291067
132,0.5259246865100667
135,0.5470731966690907
138,0.0
143,0.5521279933075395
146,0.4360754352255521
147,0.48846866731782534
148,0.4663270330313586
151,0.0
153,0.4869932036559644
156,0.6170770222983524
157,0.42326594179179017
158,0.4755539347127149
160,0.47305926070065646
161,0.4950683679081139
163,0.48067313230628284
164,0.4781027347514983
165,0.5297744765309
166,0.5002932551319648
169,0.0
17,0.5952931288085732
173,0.4942954287270697
174,0.0
177,0.5067450351016877
178,0.48393134988110276
18,0.47686832740213525
187,0.0
189,0.4852354349561053
190,0.5997976105436774
191,0.7633117971311488
192,0.49844810110244225
195,0.43643220038436176
196,0.5524287716020552
202,0.5147826086956522
206,0.0
207,0.48392760781764915
208,0.4375420970966001
209,0.500855521519728
21,0.4480674638555016
210,0.5724567157946107
212,0.6136468081196219
213,0.5358478173294604
214,0.0
216,0.0
22,0.3395467498032891
221,0.5714353253746188
227,0.0
23,0.48288935790127324
230,0.0
235,0.5219607843137255
240,0.5491127702899253
241,0.5724559244923177
246,0.6393745163739738
248,0.5078115969445635
251,0.5609450258216843
253,0.7010890986223836
255,0.6164504662239113
256,0.53842793830936
264,0.0
266,0.5160451373300411
267,0.5417747526990463
270,0.4571036156267962
271,0.542603651960079
274,0.4420177812137611
275,0.0
277,0.44408943383926336
278,0.5549874871591438
284,0.5997782705099778
287,0.0
290,0.478471628172227
293,0.4785866774005178
295,0.4955943693715926
296,0.526127299365131
297,0.4095715080690039
30,0.4783264254434555
300,0.5007158395637321
301,0.6050463840840528
302,0.5150566354217123
303,0.5452916859461627
306,0.5607661822985469
31,0.48344492074506346
311,0.5766738660907127
318,0.49520479340758616
319,0.48697733864631426
32,0.3562236686599782
320,0.513790691161227
321,0.45062004741322825
323,0.4383321899685339
325,0.48701755468558655
326,0.5671119592875318
328,0.6426899030733358
331,0.5482977038796516
333,0.723202170963365
342,0.2528779816416253
345,0.5590106773805131
347,0.45817861603469573
348,0.4921408771147205
349,0.5299914434241791
352,0.49627855685628786
354,0.4623511764243538
355,0.37580745709964297
356,0.49390083279502334
358,0.0
359,0.37988966900702104
360,0.5977055449330784
362,0.6890838206627681
364,0.0
365,0.4574076287537792
367,0.0
37,0.6636819964703324
371,0.18757364036070334
373,0.41586441965990995
377,0.464161935244875
379,0.5132440705393525
38,0.4692218350754936
383,0.39116096298736147
386,0.5484692173889744
388,0.6091529714531567
389,0.0
39,0.5723413178616436
390,0.7498039215686274
396,0.0
399,0.3542796681001312
4,0.5099760915696184
40,0.46665683044376477
401,0.5288815842276513
402,0.5608293947177276
405,0.53747263590184
408,0.5332974035547207
41,0.4741379046827128
411,0.4228860196544851
412,0.4658077633806021
414,0.5380683848621955
417,0.6004092370651856
42,0.47913585430113814
422,0.4810023526859727
43,0.4380913817794588
437,0.40005082547013776
438,0.6755246491990563
439,0.46934865900383144
44,0.426894063742482
440,0.0
444,0.0
445,0.5383121920696501
447,0.0
45,0.6014461931093151
450,0.4333997899404689
456,0.4174702887539194
463,0.48551137535110006
467,0.5941591321150353
47,0.500465319038303
49,0.5381026164308877
5,0.5325625584032704
50,0.5325897684748462
54,0.5758157446575757
55,0.5018315018315018
56,0.0
57,0.5333058607026688
58,0.546580006190034
59,0.0
60,0.48559670781893005
70,0.5424092162165766
72,0.532705465789199
73,0.4638634774037514
78,0.5524682169620417
80,0.6585336286874076
82,0.4959130409843887
84,0.40524971063237514
87,0.43107026386006525
88,0.5806950799079997
9,0.6937711678743155
91,0.49205029196384437
93,0.4876280376927254
94,0.4405187392958079
97,0.4710083175131578
98,0.5025336051331607
99,0.4843649902646616
